,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,1678,3496.0,3731,0.32431387707769616,0.31022370123867626,0.31711234999527543,0.5409717157325467,0.40069626616649917,0.4453770149154005
1,adverse reactions,discontinuous,12,,385,,0.030226700251889168,,,0.021391292835542176,
2,adverse reactions,exact-meddra,1519,,2644,,0.36488109536392027,,,0.4634093529664275,
3,adverse reactions,negated,11,,62,,0.1506849315068493,,,0.13523809523809524,
4,adverse reactions,non-meddra,159,,1088,,0.12750601443464316,,,0.1907185622482006,
5,boxed warnings,all,100,142.0,174,0.4132231404958678,0.36496350364963503,0.3875968992248062,0.3871552385749062,0.39046038455868176,0.5199942174958263
6,boxed warnings,discontinuous,0,,37,,0.0,,,0.0,
7,boxed warnings,exact-meddra,81,,55,,0.5955882352941176,,,0.47993121762221935,
8,boxed warnings,negated,1,,4,,0.2,,,0.25,
9,boxed warnings,non-meddra,19,,119,,0.13768115942028986,,,0.16789215686274508,
10,warnings and precautions,all,493,3507.0,2234,0.12325,0.18078474514118079,0.14657350973688124,0.2964961114789253,0.22469537951400084,0.27077497259938266
11,warnings and precautions,discontinuous,9,,390,,0.022556390977443608,,,0.02892096642096642,
12,warnings and precautions,exact-meddra,368,,845,,0.3033800494641385,,,0.34654479920957837,
13,warnings and precautions,negated,9,,49,,0.15517241379310345,,,0.20601851851851852,
14,warnings and precautions,non-meddra,125,,1390,,0.08250825082508251,,,0.10049596473660878,
0,all,all,2271,7145.0,6139,0.24118521665250636,0.2700356718192628,0.23622618314086374,0.4157210388486839,0.32670876825806955,0.3846289537124189
