,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,KYPROLIS,adverse reactions,all,128,14,54,74.0,0,0.421875,1.0,0.5934065934065934
1,KYPROLIS,adverse reactions,exact-meddra,104,14,41,,0,,1.0,
2,KYPROLIS,adverse reactions,non-meddra,25,14,13,,6,,0.6842105263157895,
3,KYPROLIS,adverse reactions,discontinuous,3,14,2,,12,,0.14285714285714285,
4,KYPROLIS,warnings and precautions,all,65,61,62,3.0,2,0.9538461538461539,0.96875,0.9612403100775193
5,KYPROLIS,warnings and precautions,exact-meddra,44,61,43,,8,,0.8431372549019608,
6,KYPROLIS,warnings and precautions,non-meddra,22,61,20,,31,,0.39215686274509803,
7,KYPROLIS,warnings and precautions,discontinuous,1,61,1,,60,,0.01639344262295082,
8,KYPROLIS,warnings and precautions,hypothetical,3,61,3,,58,,0.04918032786885246,
9,MULTAQ,adverse reactions,all,39,44,18,21.0,17,0.46153846153846156,0.5142857142857142,0.48648648648648646
10,MULTAQ,adverse reactions,exact-meddra,26,44,14,,21,,0.4,
11,MULTAQ,adverse reactions,non-meddra,13,44,4,,38,,0.09523809523809523,
12,MULTAQ,adverse reactions,discontinuous,5,44,1,,42,,0.023255813953488372,
13,MULTAQ,warnings and precautions,all,25,21,19,6.0,3,0.76,0.8636363636363636,0.8085106382978724
14,MULTAQ,warnings and precautions,exact-meddra,13,21,10,,9,,0.5263157894736842,
15,MULTAQ,warnings and precautions,non-meddra,12,21,9,,10,,0.47368421052631576,
16,MULTAQ,warnings and precautions,discontinuous,3,21,2,,17,,0.10526315789473684,
17,MULTAQ,warnings and precautions,hypothetical,8,21,6,,13,,0.3157894736842105,
18,MULTAQ,boxed warnings,all,3,3,3,0.0,0,1.0,1.0,1.0
19,MULTAQ,boxed warnings,exact-meddra,3,3,3,,0,,1.0,
20,MULTAQ,boxed warnings,hypothetical,3,3,3,,0,,1.0,
21,JUBLIA,adverse reactions,all,5,20,5,0.0,13,1.0,0.2777777777777778,0.4347826086956522
22,JUBLIA,adverse reactions,exact-meddra,3,20,3,,17,,0.15,
23,JUBLIA,adverse reactions,non-meddra,2,20,2,,16,,0.1111111111111111,
24,TEFLARO,adverse reactions,all,30,34,26,4.0,8,0.8666666666666667,0.7647058823529411,0.8125
25,TEFLARO,adverse reactions,exact-meddra,26,34,24,,8,,0.75,
26,TEFLARO,adverse reactions,non-meddra,4,34,2,,30,,0.0625,
27,TEFLARO,warnings and precautions,all,12,6,7,5.0,1,0.5833333333333334,0.875,0.7000000000000001
28,TEFLARO,warnings and precautions,exact-meddra,2,6,0,,6,,0.0,
29,TEFLARO,warnings and precautions,non-meddra,10,6,7,,1,,0.875,
30,TEFLARO,warnings and precautions,negated,1,6,1,,5,,0.16666666666666666,
31,TEFLARO,warnings and precautions,discontinuous,2,6,2,,4,,0.3333333333333333,
32,TEFLARO,warnings and precautions,hypothetical,3,6,3,,3,,0.5,
33,DATSCAN,adverse reactions,all,11,9,10,1.0,1,0.9090909090909091,0.9090909090909091,0.9090909090909091
34,DATSCAN,adverse reactions,exact-meddra,8,9,8,,1,,0.8888888888888888,
35,DATSCAN,adverse reactions,non-meddra,3,9,2,,6,,0.25,
36,DATSCAN,warnings and precautions,all,3,12,3,0.0,4,1.0,0.42857142857142855,0.6
37,DATSCAN,warnings and precautions,exact-meddra,1,12,1,,9,,0.1,
38,DATSCAN,warnings and precautions,non-meddra,2,12,2,,4,,0.3333333333333333,
39,TIVICAY,adverse reactions,all,45,121,27,18.0,82,0.6,0.24770642201834864,0.3506493506493507
40,TIVICAY,adverse reactions,exact-meddra,30,121,23,,85,,0.21296296296296297,
41,TIVICAY,adverse reactions,non-meddra,15,121,4,,111,,0.034782608695652174,
42,TIVICAY,adverse reactions,discontinuous,8,121,1,,120,,0.008264462809917356,
43,TIVICAY,warnings and precautions,all,29,25,9,20.0,11,0.3103448275862069,0.45,0.3673469387755102
44,TIVICAY,warnings and precautions,exact-meddra,10,25,6,,12,,0.3333333333333333,
45,TIVICAY,warnings and precautions,non-meddra,19,25,3,,23,,0.11538461538461539,
46,TIVICAY,warnings and precautions,discontinuous,2,25,0,,25,,0.0,
47,TIVICAY,warnings and precautions,hypothetical,18,25,3,,23,,0.11538461538461539,
48,TAFINLAR,adverse reactions,all,112,11,26,86.0,1,0.23214285714285715,0.9629629629629629,0.3741007194244605
49,TAFINLAR,adverse reactions,exact-meddra,94,11,22,,4,,0.8461538461538461,
50,TAFINLAR,adverse reactions,non-meddra,18,11,4,,7,,0.36363636363636365,
51,TAFINLAR,warnings and precautions,all,63,45,17,46.0,19,0.2698412698412698,0.4722222222222222,0.34343434343434337
52,TAFINLAR,warnings and precautions,exact-meddra,28,45,8,,34,,0.19047619047619047,
53,TAFINLAR,warnings and precautions,non-meddra,35,45,9,,27,,0.25,
54,TAFINLAR,warnings and precautions,discontinuous,2,45,1,,43,,0.022727272727272728,
55,TAFINLAR,warnings and precautions,hypothetical,25,45,8,,34,,0.19047619047619047,
56,HORIZANT,adverse reactions,all,27,17,23,4.0,0,0.8518518518518519,1.0,0.92
57,HORIZANT,adverse reactions,exact-meddra,26,17,22,,1,,0.9565217391304348,
58,HORIZANT,adverse reactions,non-meddra,1,17,1,,16,,0.058823529411764705,
59,HORIZANT,warnings and precautions,all,40,7,11,29.0,2,0.275,0.8461538461538461,0.41509433962264153
60,HORIZANT,warnings and precautions,exact-meddra,17,7,4,,4,,0.5,
61,HORIZANT,warnings and precautions,non-meddra,23,7,7,,3,,0.7,
62,HORIZANT,warnings and precautions,negated,2,7,1,,5,,0.16666666666666666,
63,HORIZANT,warnings and precautions,discontinuous,12,7,3,,6,,0.3333333333333333,
64,HORIZANT,warnings and precautions,hypothetical,12,7,5,,5,,0.5,
65,IMBRUVICA,adverse reactions,all,70,12,33,37.0,0,0.4714285714285714,1.0,0.6407766990291262
66,IMBRUVICA,adverse reactions,exact-meddra,55,12,29,,1,,0.9666666666666667,
67,IMBRUVICA,adverse reactions,non-meddra,15,12,4,,8,,0.3333333333333333,
68,IMBRUVICA,adverse reactions,discontinuous,2,12,0,,12,,0.0,
69,IMBRUVICA,warnings and precautions,all,32,22,27,5.0,0,0.84375,1.0,0.9152542372881356
70,IMBRUVICA,warnings and precautions,exact-meddra,16,22,15,,6,,0.7142857142857143,
71,IMBRUVICA,warnings and precautions,non-meddra,16,22,12,,10,,0.5454545454545454,
72,IMBRUVICA,warnings and precautions,hypothetical,3,22,2,,16,,0.1111111111111111,
73,ULORIC,adverse reactions,all,210,124,181,29.0,1,0.861904761904762,0.9945054945054945,0.9234693877551021
74,ULORIC,adverse reactions,exact-meddra,187,124,161,,4,,0.9757575757575757,
75,ULORIC,adverse reactions,non-meddra,23,124,20,,84,,0.19230769230769232,
76,ULORIC,adverse reactions,discontinuous,18,124,14,,84,,0.14285714285714285,
77,ULORIC,warnings and precautions,all,11,6,9,2.0,0,0.8181818181818182,1.0,0.9
78,ULORIC,warnings and precautions,exact-meddra,2,6,2,,4,,0.3333333333333333,
79,ULORIC,warnings and precautions,non-meddra,9,6,7,,1,,0.875,
80,CIMZIA,adverse reactions,all,107,109,53,54.0,61,0.4953271028037383,0.4649122807017544,0.4796380090497737
81,CIMZIA,adverse reactions,exact-meddra,76,109,39,,62,,0.38613861386138615,
82,CIMZIA,adverse reactions,non-meddra,31,109,14,,90,,0.1346153846153846,
83,CIMZIA,adverse reactions,negated,1,109,1,,106,,0.009345794392523364,
84,CIMZIA,adverse reactions,discontinuous,10,109,5,,104,,0.045871559633027525,
85,CIMZIA,adverse reactions,hypothetical,8,109,4,,100,,0.038461538461538464,
86,CIMZIA,warnings and precautions,all,72,21,48,24.0,0,0.6666666666666666,1.0,0.8
87,CIMZIA,warnings and precautions,exact-meddra,25,21,14,,10,,0.5833333333333334,
88,CIMZIA,warnings and precautions,non-meddra,47,21,34,,1,,0.9714285714285714,
89,CIMZIA,warnings and precautions,negated,2,21,0,,21,,0.0,
90,CIMZIA,warnings and precautions,discontinuous,10,21,7,,13,,0.35,
91,CIMZIA,warnings and precautions,hypothetical,39,21,27,,2,,0.9310344827586207,
92,CIMZIA,boxed warnings,all,27,13,19,8.0,1,0.7037037037037037,0.95,0.8085106382978724
93,CIMZIA,boxed warnings,exact-meddra,13,13,12,,4,,0.75,
94,CIMZIA,boxed warnings,non-meddra,14,13,7,,6,,0.5384615384615384,
95,CIMZIA,boxed warnings,discontinuous,8,13,4,,9,,0.3076923076923077,
96,CIMZIA,boxed warnings,hypothetical,12,13,10,,3,,0.7692307692307693,
97,KALYDECO,adverse reactions,all,40,21,31,9.0,0,0.775,1.0,0.8732394366197184
98,KALYDECO,adverse reactions,exact-meddra,24,21,23,,1,,0.9583333333333334,
99,KALYDECO,adverse reactions,non-meddra,16,21,8,,16,,0.3333333333333333,
100,KALYDECO,adverse reactions,discontinuous,10,21,3,,18,,0.14285714285714285,
101,KALYDECO,warnings and precautions,all,6,3,5,1.0,1,0.8333333333333334,0.8333333333333334,0.8333333333333334
102,KALYDECO,warnings and precautions,exact-meddra,1,3,1,,2,,0.3333333333333333,
103,KALYDECO,warnings and precautions,non-meddra,5,3,4,,1,,0.8,
104,KALYDECO,warnings and precautions,discontinuous,3,3,3,,1,,0.75,
105,FULYZAQ,adverse reactions,all,36,34,36,0.0,0,1.0,1.0,1.0
106,FULYZAQ,adverse reactions,exact-meddra,30,34,30,,6,,0.8333333333333334,
107,FULYZAQ,adverse reactions,non-meddra,6,34,6,,28,,0.17647058823529413,
108,QUTENZA,adverse reactions,all,40,24,36,4.0,0,0.9,1.0,0.9473684210526316
109,QUTENZA,adverse reactions,exact-meddra,34,24,33,,1,,0.9705882352941176,
