,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,3262,2059.0,1814,0.6130426611539185,0.6426319936958235,0.6274886986630759,0.6692667320930609,0.783123687337319,0.6848314556848037
1,adverse reactions,discontinuous,199,,3380,,0.05560212349818385,,,0.09425454207194384,
2,adverse reactions,exact-meddra,2604,,2017,,0.5635143908244968,,,0.7060068371923165,
3,adverse reactions,hypothetical,51,,1548,,0.03189493433395872,,,0.06138195489216271,
4,adverse reactions,negated,42,,1839,,0.022328548644338118,,,0.05358842832704408,
5,adverse reactions,non-meddra,658,,3919,,0.14376228970941665,,,0.2549904747777195,
6,boxed warnings,all,233,41.0,45,0.8503649635036497,0.8381294964028777,0.8442028985507246,0.8260324957693378,0.8119606539966651,0.8293380420935699
7,boxed warnings,discontinuous,28,,67,,0.29473684210526313,,,0.4503687505359746,
8,boxed warnings,exact-meddra,123,,70,,0.6373056994818653,,,0.6675661888185608,
9,boxed warnings,hypothetical,101,,96,,0.5126903553299492,,,0.6548408993983157,
10,boxed warnings,negated,5,,5,,0.5,,,0.675,
11,boxed warnings,non-meddra,110,,121,,0.47619047619047616,,,0.5581473505348938,
12,warnings and precautions,all,1449,1187.0,1609,0.5496965098634294,0.473839110529758,0.5089567966280295,0.6414409997649468,0.6574387855034779,0.6029887956052407
13,warnings and precautions,discontinuous,187,,2315,,0.07474020783373302,,,0.15557577606352388,
14,warnings and precautions,exact-meddra,721,,1942,,0.2707472775065715,,,0.4315072083827281,
15,warnings and precautions,hypothetical,457,,2225,,0.1703952274422073,,,0.30775386152506884,
16,warnings and precautions,negated,27,,1240,,0.021310181531176007,,,0.07052043745128654,
17,warnings and precautions,non-meddra,729,,2158,,0.25251125736058194,,,0.4131043309948773,
0,all,all,4944,3287.0,3468,0.6006560563722513,0.5877318116975749,0.5678887884419938,0.6836696639070945,0.736922928547121,0.6742650948221556
