,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,KYPROLIS,adverse reactions,all,128,14,21,0.0,107,1.0,0.1640625,0.28187919463087246
1,KYPROLIS,adverse reactions,exact-meddra,104,14,16,,88,,0.15384615384615385,
2,KYPROLIS,adverse reactions,non-meddra,25,14,5,,20,,0.2,
3,KYPROLIS,adverse reactions,discontinuous,3,14,0,,3,,0.0,
4,KYPROLIS,warnings and precautions,all,65,61,54,7.0,11,0.8852459016393442,0.8307692307692308,0.8571428571428572
5,KYPROLIS,warnings and precautions,exact-meddra,44,61,39,,5,,0.8863636363636364,
6,KYPROLIS,warnings and precautions,non-meddra,22,61,16,,6,,0.7272727272727273,
7,KYPROLIS,warnings and precautions,discontinuous,1,61,1,,0,,1.0,
8,MULTAQ,adverse reactions,all,39,44,13,33.0,26,0.2826086956521739,0.3333333333333333,0.30588235294117644
9,MULTAQ,adverse reactions,exact-meddra,26,44,9,,17,,0.34615384615384615,
10,MULTAQ,adverse reactions,non-meddra,13,44,4,,9,,0.3076923076923077,
11,MULTAQ,adverse reactions,discontinuous,5,44,1,,4,,0.2,
12,MULTAQ,warnings and precautions,all,25,21,19,2.0,6,0.9047619047619048,0.76,0.8260869565217391
13,MULTAQ,warnings and precautions,exact-meddra,13,21,12,,1,,0.9230769230769231,
14,MULTAQ,warnings and precautions,non-meddra,12,21,7,,5,,0.5833333333333334,
15,MULTAQ,warnings and precautions,discontinuous,3,21,2,,1,,0.6666666666666666,
16,MULTAQ,boxed warnings,all,3,3,3,0.0,0,1.0,1.0,1.0
17,MULTAQ,boxed warnings,exact-meddra,3,3,3,,0,,1.0,
18,JUBLIA,adverse reactions,all,5,20,5,15.0,0,0.25,1.0,0.4
19,JUBLIA,adverse reactions,exact-meddra,3,20,3,,0,,1.0,
20,JUBLIA,adverse reactions,non-meddra,2,20,2,,0,,1.0,
21,TEFLARO,adverse reactions,all,30,34,22,13.0,8,0.6285714285714286,0.7333333333333333,0.6769230769230768
22,TEFLARO,adverse reactions,exact-meddra,26,34,20,,6,,0.7692307692307693,
23,TEFLARO,adverse reactions,non-meddra,4,34,2,,2,,0.5,
24,TEFLARO,warnings and precautions,all,12,6,5,2.0,7,0.7142857142857143,0.4166666666666667,0.5263157894736842
25,TEFLARO,warnings and precautions,exact-meddra,2,6,1,,1,,0.5,
26,TEFLARO,warnings and precautions,non-meddra,10,6,4,,6,,0.4,
27,TEFLARO,warnings and precautions,negated,1,6,1,,0,,1.0,
28,TEFLARO,warnings and precautions,discontinuous,2,6,0,,2,,0.0,
29,DATSCAN,adverse reactions,all,11,9,7,2.0,4,0.7777777777777778,0.6363636363636364,0.7000000000000001
30,DATSCAN,adverse reactions,exact-meddra,8,9,7,,1,,0.875,
31,DATSCAN,adverse reactions,non-meddra,3,9,0,,3,,0.0,
32,DATSCAN,warnings and precautions,all,3,12,1,11.0,2,0.08333333333333333,0.3333333333333333,0.13333333333333333
33,DATSCAN,warnings and precautions,exact-meddra,1,12,1,,0,,1.0,
34,DATSCAN,warnings and precautions,non-meddra,2,12,0,,2,,0.0,
35,TIVICAY,adverse reactions,all,45,121,20,95.0,25,0.17391304347826086,0.4444444444444444,0.25
36,TIVICAY,adverse reactions,exact-meddra,30,121,19,,11,,0.6333333333333333,
37,TIVICAY,adverse reactions,non-meddra,15,121,1,,14,,0.06666666666666667,
38,TIVICAY,adverse reactions,discontinuous,8,121,0,,8,,0.0,
39,TIVICAY,warnings and precautions,all,29,25,3,20.0,26,0.13043478260869565,0.10344827586206896,0.11538461538461538
40,TIVICAY,warnings and precautions,exact-meddra,10,25,2,,8,,0.2,
41,TIVICAY,warnings and precautions,non-meddra,19,25,1,,18,,0.05263157894736842,
42,TIVICAY,warnings and precautions,discontinuous,2,25,0,,2,,0.0,
43,TAFINLAR,adverse reactions,all,112,11,18,1.0,94,0.9473684210526315,0.16071428571428573,0.2748091603053435
44,TAFINLAR,adverse reactions,exact-meddra,94,11,14,,80,,0.14893617021276595,
45,TAFINLAR,adverse reactions,non-meddra,18,11,4,,14,,0.2222222222222222,
46,TAFINLAR,warnings and precautions,all,63,45,9,37.0,54,0.1956521739130435,0.14285714285714285,0.16513761467889906
47,TAFINLAR,warnings and precautions,exact-meddra,28,45,3,,25,,0.10714285714285714,
48,TAFINLAR,warnings and precautions,non-meddra,35,45,6,,29,,0.17142857142857143,
49,TAFINLAR,warnings and precautions,discontinuous,2,45,1,,1,,0.5,
50,HORIZANT,adverse reactions,all,27,17,18,0.0,9,1.0,0.6666666666666666,0.8
51,HORIZANT,adverse reactions,exact-meddra,26,17,17,,9,,0.6538461538461539,
52,HORIZANT,adverse reactions,non-meddra,1,17,1,,0,,1.0,
53,HORIZANT,warnings and precautions,all,40,7,11,2.0,29,0.8461538461538461,0.275,0.41509433962264153
54,HORIZANT,warnings and precautions,exact-meddra,17,7,5,,12,,0.29411764705882354,
55,HORIZANT,warnings and precautions,non-meddra,23,7,6,,17,,0.2608695652173913,
56,HORIZANT,warnings and precautions,negated,2,7,1,,1,,0.5,
57,HORIZANT,warnings and precautions,discontinuous,12,7,1,,11,,0.08333333333333333,
58,IMBRUVICA,adverse reactions,all,70,12,13,1.0,57,0.9285714285714286,0.18571428571428572,0.30952380952380953
59,IMBRUVICA,adverse reactions,exact-meddra,55,12,11,,44,,0.2,
60,IMBRUVICA,adverse reactions,non-meddra,15,12,2,,13,,0.13333333333333333,
61,IMBRUVICA,adverse reactions,discontinuous,2,12,0,,2,,0.0,
62,IMBRUVICA,warnings and precautions,all,32,22,24,1.0,8,0.96,0.75,0.8421052631578947
63,IMBRUVICA,warnings and precautions,exact-meddra,16,22,13,,3,,0.8125,
64,IMBRUVICA,warnings and precautions,non-meddra,16,22,11,,5,,0.6875,
65,ULORIC,adverse reactions,all,210,124,128,7.0,82,0.9481481481481482,0.6095238095238096,0.7420289855072464
66,ULORIC,adverse reactions,exact-meddra,187,124,112,,75,,0.5989304812834224,
67,ULORIC,adverse reactions,non-meddra,23,124,16,,7,,0.6956521739130435,
68,ULORIC,adverse reactions,discontinuous,18,124,4,,14,,0.2222222222222222,
69,ULORIC,warnings and precautions,all,11,6,7,2.0,4,0.7777777777777778,0.6363636363636364,0.7000000000000001
70,ULORIC,warnings and precautions,exact-meddra,2,6,1,,1,,0.5,
71,ULORIC,warnings and precautions,non-meddra,9,6,6,,3,,0.6666666666666666,
72,CIMZIA,adverse reactions,all,107,109,15,91.0,92,0.14150943396226415,0.14018691588785046,0.1408450704225352
73,CIMZIA,adverse reactions,exact-meddra,76,109,12,,64,,0.15789473684210525,
74,CIMZIA,adverse reactions,non-meddra,31,109,3,,28,,0.0967741935483871,
75,CIMZIA,adverse reactions,negated,1,109,0,,1,,0.0,
76,CIMZIA,adverse reactions,discontinuous,10,109,2,,8,,0.2,
77,CIMZIA,warnings and precautions,all,72,21,32,1.0,40,0.9696969696969697,0.4444444444444444,0.6095238095238095
78,CIMZIA,warnings and precautions,exact-meddra,25,21,8,,17,,0.32,
79,CIMZIA,warnings and precautions,non-meddra,47,21,24,,23,,0.5106382978723404,
80,CIMZIA,warnings and precautions,negated,2,21,0,,2,,0.0,
81,CIMZIA,warnings and precautions,discontinuous,10,21,5,,5,,0.5,
82,CIMZIA,boxed warnings,all,27,13,17,1.0,10,0.9444444444444444,0.6296296296296297,0.7555555555555556
83,CIMZIA,boxed warnings,exact-meddra,13,13,10,,3,,0.7692307692307693,
84,CIMZIA,boxed warnings,non-meddra,14,13,7,,7,,0.5,
85,CIMZIA,boxed warnings,discontinuous,8,13,2,,6,,0.25,
86,KALYDECO,adverse reactions,all,40,21,21,0.0,19,1.0,0.525,0.6885245901639345
87,KALYDECO,adverse reactions,exact-meddra,24,21,19,,5,,0.7916666666666666,
88,KALYDECO,adverse reactions,non-meddra,16,21,2,,14,,0.125,
89,KALYDECO,adverse reactions,discontinuous,10,21,0,,10,,0.0,
90,KALYDECO,warnings and precautions,all,6,3,3,1.0,3,0.75,0.5,0.6
91,KALYDECO,warnings and precautions,exact-meddra,1,3,1,,0,,1.0,
92,KALYDECO,warnings and precautions,non-meddra,5,3,2,,3,,0.4,
93,KALYDECO,warnings and precautions,discontinuous,3,3,1,,2,,0.3333333333333333,
94,FULYZAQ,adverse reactions,all,36,34,32,2.0,4,0.9411764705882353,0.8888888888888888,0.9142857142857143
95,FULYZAQ,adverse reactions,exact-meddra,30,34,28,,2,,0.9333333333333333,
96,FULYZAQ,adverse reactions,non-meddra,6,34,4,,2,,0.6666666666666666,
97,QUTENZA,adverse reactions,all,40,24,35,0.0,5,1.0,0.875,0.9333333333333333
98,QUTENZA,adverse reactions,exact-meddra,34,24,33,,1,,0.9705882352941176,
99,QUTENZA,adverse reactions,non-meddra,6,24,2,,4,,0.3333333333333333,
100,QUTENZA,warnings and precautions,all,6,5,0,5.0,6,0.0,0.0,
101,QUTENZA,warnings and precautions,exact-meddra,3,5,0,,3,,0.0,
102,QUTENZA,warnings and precautions,non-meddra,3,5,0,,3,,0.0,
103,GRANIX,adverse reactions,all,15,30,9,21.0,6,0.3,0.6,0.4
104,GRANIX,adverse reactions,exact-meddra,5,30,2,,3,,0.4,
105,GRANIX,adverse reactions,non-meddra,10,30,7,,3,,0.7,
106,GRANIX,warnings and precautions,all,24,11,15,1.0,9,0.9375,0.625,0.75
107,GRANIX,warnings and precautions,exact-meddra,17,11,13,,4,,0.7647058823529411,
108,GRANIX,warnings and precautions,non-meddra,7,11,2,,5,,0.2857142857142857,
109,GRANIX,warnings and precautions,discontinuous,1,11,0,,1,,0.0,
110,COARTEM,adverse reactions,all,81,1,0,1.0,81,0.0,0.0,
111,COARTEM,adverse reactions,exact-meddra,78,1,0,,78,,0.0,
112,COARTEM,adverse reactions,non-meddra,3,1,0,,3,,0.0,
