,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,1661,3039.0,3660,0.35340425531914893,0.3121593685397482,0.33150384193194293,0.5571544487413814,0.3874369276637411,0.43390991656602607
1,adverse reactions,discontinuous,5,,382,,0.012919896640826873,,,0.010582010582010581,
2,adverse reactions,exact-meddra,1496,,2601,,0.3651452282157676,,,0.4551777415664685,
3,adverse reactions,negated,11,,60,,0.15492957746478872,,,0.12941176470588237,
4,adverse reactions,non-meddra,165,,1060,,0.1346938775510204,,,0.19045565135892878,
5,boxed warnings,all,114,119.0,160,0.4892703862660944,0.41605839416058393,0.44970414201183434,0.43574034660991184,0.4338828705121275,0.5528396288062908
6,boxed warnings,discontinuous,0,,37,,0.0,,,0.0,
7,boxed warnings,exact-meddra,91,,45,,0.6691176470588235,,,0.5690566366287928,
8,boxed warnings,negated,2,,3,,0.4,,,0.5,
9,boxed warnings,non-meddra,23,,115,,0.16666666666666666,,,0.2017156862745098,
10,warnings and precautions,all,485,2406.0,2151,0.16776202006226218,0.18399089529590287,0.1755020806947711,0.3040398597276502,0.2378518225125061,0.29216181673313896
11,warnings and precautions,discontinuous,6,,379,,0.015584415584415584,,,0.03004694835680751,
12,warnings and precautions,exact-meddra,358,,815,,0.3052003410059676,,,0.3839289278588593,
13,warnings and precautions,negated,5,,53,,0.08620689655172414,,,0.1597222222222222,
14,warnings and precautions,non-meddra,127,,1337,,0.08674863387978142,,,0.1072071037376112,
0,all,all,2260,5564.0,5971,0.2888548057259714,0.2745717409792249,0.2639251128986875,0.4347126071539393,0.33443669466383846,0.3958586075558754
