,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,KYPROLIS,adverse reactions,all,128,158,125,3.0,3,0.9765625,0.9765625,0.9765625
1,KYPROLIS,adverse reactions,exact-meddra,104,158,103,,8,,0.9279279279279279,
2,KYPROLIS,adverse reactions,non-meddra,25,158,22,,82,,0.21153846153846154,
3,KYPROLIS,adverse reactions,discontinuous,3,158,3,,142,,0.020689655172413793,
4,KYPROLIS,warnings and precautions,all,65,101,59,6.0,12,0.9076923076923077,0.8309859154929577,0.8676470588235293
5,KYPROLIS,warnings and precautions,exact-meddra,44,101,43,,17,,0.7166666666666667,
6,KYPROLIS,warnings and precautions,non-meddra,22,101,16,,57,,0.2191780821917808,
7,KYPROLIS,warnings and precautions,discontinuous,1,101,1,,96,,0.010309278350515464,
8,KYPROLIS,all-concat,all,158,204,152,6.0,10,0.9620253164556962,0.9382716049382716,0.95
9,KYPROLIS,all-concat,exact-meddra,119,204,118,,14,,0.8939393939393939,
10,KYPROLIS,all-concat,non-meddra,40,204,34,,100,,0.2537313432835821,
11,KYPROLIS,all-concat,discontinuous,4,204,4,,183,,0.0213903743315508,
12,MULTAQ,adverse reactions,all,39,46,38,1.0,4,0.9743589743589743,0.9047619047619048,0.9382716049382716
13,MULTAQ,adverse reactions,exact-meddra,26,46,26,,6,,0.8125,
14,MULTAQ,adverse reactions,non-meddra,13,46,12,,25,,0.32432432432432434,
15,MULTAQ,adverse reactions,discontinuous,5,46,5,,39,,0.11363636363636363,
16,MULTAQ,warnings and precautions,all,25,70,22,3.0,28,0.88,0.44,0.5866666666666667
17,MULTAQ,warnings and precautions,exact-meddra,13,70,13,,32,,0.28888888888888886,
18,MULTAQ,warnings and precautions,non-meddra,12,70,9,,51,,0.15,
19,MULTAQ,warnings and precautions,discontinuous,3,70,2,,65,,0.029850746268656716,
20,MULTAQ,boxed warnings,all,3,9,3,0.0,3,1.0,0.5,0.6666666666666666
21,MULTAQ,boxed warnings,exact-meddra,3,9,3,,3,,0.5,
22,MULTAQ,all-concat,all,57,96,54,3.0,22,0.9473684210526315,0.7105263157894737,0.8120300751879698
23,MULTAQ,all-concat,exact-meddra,32,96,32,,27,,0.5423728813559322,
24,MULTAQ,all-concat,non-meddra,25,96,22,,56,,0.28205128205128205,
25,MULTAQ,all-concat,discontinuous,8,96,7,,84,,0.07692307692307693,
26,JUBLIA,adverse reactions,all,5,10,3,2.0,4,0.6,0.42857142857142855,0.5
27,JUBLIA,adverse reactions,exact-meddra,3,10,3,,4,,0.42857142857142855,
28,JUBLIA,adverse reactions,non-meddra,2,10,0,,10,,0.0,
29,JUBLIA,all-concat,all,5,10,3,2.0,4,0.6,0.42857142857142855,0.5
30,JUBLIA,all-concat,exact-meddra,3,10,3,,4,,0.42857142857142855,
31,JUBLIA,all-concat,non-meddra,2,10,0,,10,,0.0,
32,TEFLARO,adverse reactions,all,30,50,29,1.0,11,0.9666666666666667,0.725,0.8285714285714285
33,TEFLARO,adverse reactions,exact-meddra,26,50,26,,11,,0.7027027027027027,
34,TEFLARO,adverse reactions,non-meddra,4,50,3,,41,,0.06818181818181818,
35,TEFLARO,warnings and precautions,all,12,22,7,5.0,11,0.5833333333333334,0.3888888888888889,0.4666666666666666
36,TEFLARO,warnings and precautions,exact-meddra,2,22,2,,17,,0.10526315789473684,
37,TEFLARO,warnings and precautions,non-meddra,10,22,5,,14,,0.2631578947368421,
38,TEFLARO,warnings and precautions,negated,1,22,1,,20,,0.047619047619047616,
39,TEFLARO,warnings and precautions,discontinuous,2,22,2,,17,,0.10526315789473684,
40,TEFLARO,all-concat,all,38,62,34,4.0,15,0.8947368421052632,0.6938775510204082,0.7816091954022989
