,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,5268,141.0,904,0.9739323349972269,0.8535320803629294,0.9097659960279769,0.9699186796439012,0.8069191566391777,0.8736028778922434
1,adverse reactions,discontinuous,360,,5346,,0.06309148264984227,,,0.0792457474922653,
2,adverse reactions,exact-meddra,4159,,1178,,0.779276747236275,,,0.7254961692586014,
3,adverse reactions,negated,66,,2848,,0.022649279341111873,,,0.033266725649771005,
4,adverse reactions,non-meddra,1109,,5280,,0.1735795899201753,,,0.17865038071286657,
5,all-concat,all,7060,322.0,1449,0.9563803847195882,0.8297097191209308,0.8885532691460575,0.9527230255013364,0.7817370317989651,0.8525131031219054
6,all-concat,discontinuous,706,,8149,,0.07972896668548843,,,0.08513040794831464,
7,all-concat,exact-meddra,4816,,1926,,0.7143280925541382,,,0.6647136068008063,
8,all-concat,negated,124,,5334,,0.022718944668376696,,,0.027886891363912432,
9,all-concat,non-meddra,2244,,6019,,0.2715720682560813,,,0.25240727723124623,
10,boxed warnings,all,241,33.0,201,0.8795620437956204,0.5452488687782805,0.6731843575418994,0.8015403091060985,0.5490164489236647,0.6520500466598257
11,boxed warnings,discontinuous,32,,144,,0.18181818181818182,,,0.17266113659302512,
12,boxed warnings,exact-meddra,136,,198,,0.40718562874251496,,,0.468522932444296,
13,boxed warnings,negated,3,,89,,0.03260869565217391,,,0.28433641975308643,
14,boxed warnings,non-meddra,105,,326,,0.24361948955916474,,,0.2601585669232728,
15,warnings and precautions,all,2444,283.0,1198,0.8962229556288962,0.671059857221307,0.7674674203171613,0.8885243170128864,0.5983903400248084,0.6986867403628486
16,warnings and precautions,discontinuous,317,,3316,,0.08725571153316818,,,0.09731189319751371,
17,warnings and precautions,exact-meddra,1204,,1632,,0.4245416078984485,,,0.38275438590066757,
18,warnings and precautions,negated,55,,1320,,0.04,,,0.04821194330234194,
19,warnings and precautions,non-meddra,1240,,2386,,0.3419746276889134,,,0.3194630336135474,
0,all,all,7953,457.0,2303,0.9456599286563615,0.7754485179407177,0.8151554547557329,0.9093524455098124,0.6796835714494179,0.7673030876467973
