,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,KYPROLIS,adverse reactions,all,128,158,117,11.0,11,0.9140625,0.9140625,0.9140625
1,KYPROLIS,adverse reactions,exact-meddra,104,158,102,,2,,0.9807692307692307,
2,KYPROLIS,adverse reactions,non-meddra,25,158,15,,10,,0.6,
3,KYPROLIS,adverse reactions,discontinuous,3,158,3,,0,,1.0,
4,KYPROLIS,warnings and precautions,all,65,101,52,26.0,13,0.6666666666666666,0.8,0.7272727272727272
5,KYPROLIS,warnings and precautions,exact-meddra,44,101,42,,2,,0.9545454545454546,
6,KYPROLIS,warnings and precautions,non-meddra,22,101,10,,12,,0.45454545454545453,
7,KYPROLIS,warnings and precautions,discontinuous,1,101,1,,0,,1.0,
8,KYPROLIS,all-concat,all,158,204,140,31.0,18,0.8187134502923976,0.8860759493670886,0.8510638297872339
9,KYPROLIS,all-concat,exact-meddra,119,204,116,,3,,0.9747899159663865,
10,KYPROLIS,all-concat,non-meddra,40,204,24,,16,,0.6,
11,KYPROLIS,all-concat,discontinuous,4,204,4,,0,,1.0,
12,MULTAQ,adverse reactions,all,39,46,37,7.0,2,0.8409090909090909,0.9487179487179487,0.891566265060241
13,MULTAQ,adverse reactions,exact-meddra,26,46,26,,0,,1.0,
14,MULTAQ,adverse reactions,non-meddra,13,46,11,,2,,0.8461538461538461,
15,MULTAQ,adverse reactions,discontinuous,5,46,5,,0,,1.0,
16,MULTAQ,warnings and precautions,all,25,70,22,48.0,3,0.3142857142857143,0.88,0.4631578947368421
17,MULTAQ,warnings and precautions,exact-meddra,13,70,13,,0,,1.0,
18,MULTAQ,warnings and precautions,non-meddra,12,70,9,,3,,0.75,
19,MULTAQ,warnings and precautions,discontinuous,3,70,2,,1,,0.6666666666666666,
20,MULTAQ,boxed warnings,all,3,9,3,5.0,0,0.375,1.0,0.5454545454545454
21,MULTAQ,boxed warnings,exact-meddra,3,9,3,,0,,1.0,
22,MULTAQ,all-concat,all,57,96,52,46.0,5,0.5306122448979592,0.9122807017543859,0.6709677419354839
23,MULTAQ,all-concat,exact-meddra,32,96,32,,0,,1.0,
24,MULTAQ,all-concat,non-meddra,25,96,20,,5,,0.8,
25,MULTAQ,all-concat,discontinuous,8,96,7,,1,,0.875,
26,JUBLIA,adverse reactions,all,5,10,3,3.0,2,0.5,0.6,0.5454545454545454
27,JUBLIA,adverse reactions,exact-meddra,3,10,3,,0,,1.0,
28,JUBLIA,adverse reactions,non-meddra,2,10,0,,2,,0.0,
29,JUBLIA,all-concat,all,5,10,3,3.0,2,0.5,0.6,0.5454545454545454
30,JUBLIA,all-concat,exact-meddra,3,10,3,,0,,1.0,
31,JUBLIA,all-concat,non-meddra,2,10,0,,2,,0.0,
32,TEFLARO,adverse reactions,all,30,50,29,16.0,1,0.6444444444444445,0.9666666666666667,0.7733333333333334
33,TEFLARO,adverse reactions,exact-meddra,26,50,26,,0,,1.0,
34,TEFLARO,adverse reactions,non-meddra,4,50,3,,1,,0.75,
35,TEFLARO,warnings and precautions,all,12,22,6,15.0,6,0.2857142857142857,0.5,0.36363636363636365
36,TEFLARO,warnings and precautions,exact-meddra,2,22,2,,0,,1.0,
37,TEFLARO,warnings and precautions,non-meddra,10,22,4,,6,,0.4,
