,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,4999,1498.0,410,0.769432045559489,0.9242004067295249,0.8397446665546783,0.7333270934839711,0.927516830674789,0.8098082801216765
1,adverse reactions,discontinuous,289,,108,,0.7279596977329975,,,0.7425886863112499,
2,adverse reactions,exact-meddra,4142,,21,,0.9949555608935864,,,0.996452401351738,
3,adverse reactions,negated,52,,21,,0.7123287671232876,,,0.659047619047619,
4,adverse reactions,non-meddra,857,,390,,0.6872493985565357,,,0.6959002764586687,
5,all-concat,all,6464,3046.0,918,0.6797055730809674,0.875643457057708,0.765332701870708,0.6527643608690998,0.8781163996284722,0.7402943176386317
6,all-concat,discontinuous,550,,251,,0.686641697877653,,,0.6822854047994601,
7,all-concat,exact-meddra,4789,,38,,0.9921276154961673,,,0.9935831350997513,
8,all-concat,negated,92,,40,,0.696969696969697,,,0.6518707482993197,
9,all-concat,non-meddra,1675,,881,,0.655320813771518,,,0.6471056702680535,
10,boxed warnings,all,209,244.0,65,0.4613686534216336,0.7627737226277372,0.5749656121045392,0.4812651089916123,0.7155604887029036,0.5630654197342364
11,boxed warnings,discontinuous,27,,10,,0.7297297297297297,,,0.5512820512820513,
12,boxed warnings,exact-meddra,134,,2,,0.9852941176470589,,,0.9948304383788256,
13,boxed warnings,negated,2,,3,,0.4,,,0.5,
14,boxed warnings,non-meddra,75,,63,,0.5434782608695652,,,0.47892156862745106,
15,warnings and precautions,all,2117,2088.0,610,0.503448275862069,0.7763109644297763,0.6107905366416618,0.45998746052885575,0.762180843965115,0.5575059129723561
16,warnings and precautions,discontinuous,247,,152,,0.6190476190476191,,,0.6215887473240415,
17,warnings and precautions,exact-meddra,1188,,25,,0.9793899422918384,,,0.9845542378076181,
18,warnings and precautions,negated,40,,18,,0.6896551724137931,,,0.7083333333333334,
19,warnings and precautions,non-meddra,929,,586,,0.6132013201320132,,,0.6120100443470279,
0,all,all,7325,3830.0,1085,0.656656207978485,0.870986920332937,0.7235810800087326,0.5803936197239888,0.8254323742944075,0.6677320130818369
