,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,KYPROLIS,adverse reactions,all,128,158,102,56.0,26,0.6455696202531646,0.796875,0.7132867132867134
1,KYPROLIS,adverse reactions,exact-meddra,104,158,102,,2,,0.9807692307692307,
2,KYPROLIS,adverse reactions,non-meddra,25,158,0,,25,,0.0,
3,KYPROLIS,adverse reactions,discontinuous,3,158,0,,3,,0.0,
4,KYPROLIS,warnings and precautions,all,65,101,42,59.0,23,0.4158415841584158,0.6461538461538462,0.5060240963855421
5,KYPROLIS,warnings and precautions,exact-meddra,44,101,42,,2,,0.9545454545454546,
6,KYPROLIS,warnings and precautions,non-meddra,22,101,0,,22,,0.0,
7,KYPROLIS,warnings and precautions,discontinuous,1,101,0,,1,,0.0,
8,KYPROLIS,all-concat,all,158,204,116,88.0,42,0.5686274509803921,0.7341772151898734,0.6408839779005524
9,KYPROLIS,all-concat,exact-meddra,119,204,116,,3,,0.9747899159663865,
10,KYPROLIS,all-concat,non-meddra,40,204,0,,40,,0.0,
11,KYPROLIS,all-concat,discontinuous,4,204,0,,4,,0.0,
12,MULTAQ,adverse reactions,all,39,46,25,21.0,14,0.5434782608695652,0.6410256410256411,0.5882352941176471
13,MULTAQ,adverse reactions,exact-meddra,26,46,25,,1,,0.9615384615384616,
14,MULTAQ,adverse reactions,non-meddra,13,46,0,,13,,0.0,
15,MULTAQ,adverse reactions,discontinuous,5,46,0,,5,,0.0,
16,MULTAQ,warnings and precautions,all,25,70,13,57.0,12,0.18571428571428572,0.52,0.2736842105263158
17,MULTAQ,warnings and precautions,exact-meddra,13,70,13,,0,,1.0,
18,MULTAQ,warnings and precautions,non-meddra,12,70,0,,12,,0.0,
19,MULTAQ,warnings and precautions,discontinuous,3,70,0,,3,,0.0,
20,MULTAQ,boxed warnings,all,3,9,3,6.0,0,0.3333333333333333,1.0,0.5
21,MULTAQ,boxed warnings,exact-meddra,3,9,3,,0,,1.0,
22,MULTAQ,all-concat,all,57,96,31,65.0,26,0.3229166666666667,0.543859649122807,0.4052287581699347
23,MULTAQ,all-concat,exact-meddra,32,96,31,,1,,0.96875,
24,MULTAQ,all-concat,non-meddra,25,96,0,,25,,0.0,
25,MULTAQ,all-concat,discontinuous,8,96,0,,8,,0.0,
26,JUBLIA,adverse reactions,all,5,10,3,7.0,2,0.3,0.6,0.4
27,JUBLIA,adverse reactions,exact-meddra,3,10,3,,0,,1.0,
28,JUBLIA,adverse reactions,non-meddra,2,10,0,,2,,0.0,
29,JUBLIA,all-concat,all,5,10,3,7.0,2,0.3,0.6,0.4
30,JUBLIA,all-concat,exact-meddra,3,10,3,,0,,1.0,
31,JUBLIA,all-concat,non-meddra,2,10,0,,2,,0.0,
32,TEFLARO,adverse reactions,all,30,50,25,25.0,5,0.5,0.8333333333333334,0.625
