,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,4087,3783.0,1322,0.5193138500635324,0.755592530966907,0.6155584004819641,0.485855463532506,0.7590260050632581,0.5851982412804511
1,adverse reactions,discontinuous,19,,378,,0.04785894206549118,,,0.06034811934724138,
2,adverse reactions,exact-meddra,4034,,129,,0.9690127312034591,,,0.9686560942106417,
3,adverse reactions,negated,28,,45,,0.3835616438356164,,,0.3466666666666667,
4,adverse reactions,non-meddra,53,,1194,,0.042502004811547714,,,0.038068029218744755,
5,all-concat,all,4810,5996.0,2572,0.44512307977049786,0.6515849363316174,0.5289201671431714,0.4231161514194621,0.6597409770012601,0.5095790038022087
6,all-concat,discontinuous,35,,766,,0.04369538077403246,,,0.06793797620953201,
7,all-concat,exact-meddra,4652,,175,,0.9637455976797182,,,0.962977293037066,
8,all-concat,negated,50,,82,,0.3787878787878788,,,0.3678004535147392,
9,all-concat,non-meddra,158,,2398,,0.061815336463223784,,,0.06481382760820813,
10,boxed warnings,all,134,356.0,140,0.27346938775510204,0.48905109489051096,0.35078534031413616,0.2802944261995986,0.47921557286882366,0.3791968129332345
11,boxed warnings,discontinuous,1,,36,,0.02702702702702703,,,0.038461538461538464,
12,boxed warnings,exact-meddra,131,,5,,0.9632352941176471,,,0.9600909842845328,
13,boxed warnings,negated,2,,3,,0.4,,,0.5,
14,boxed warnings,non-meddra,3,,135,,0.021739130434782608,,,0.04411764705882353,
15,warnings and precautions,all,1269,3317.0,1458,0.2767117313563018,0.46534653465346537,0.34705319294407216,0.24329089328844763,0.4451534058481731,0.3162648899325347
16,warnings and precautions,discontinuous,12,,387,,0.03007518796992481,,,0.04358770535241123,
17,warnings and precautions,exact-meddra,1157,,56,,0.953833470733718,,,0.9513263056801857,
18,warnings and precautions,negated,22,,36,,0.3793103448275862,,,0.3726851851851852,
19,warnings and precautions,non-meddra,112,,1403,,0.07392739273927393,,,0.08484172925360971,
0,all,all,5490,7456.0,2920,0.4240692105669705,0.652794292508918,0.4693378627790835,0.353058502802319,0.5849648247782929,0.44536263339342824
