,drug_name,section_name,gpt_output
0,KYPROLIS,adverse reactions,"uremic syndrome, myalgia, dizziness, cardiac failure, p, ph, decreased hemoglobin, thrombocytopenia, nervous, hyponatremia, posterior reversible encephalopathy syndrome, hyperuricemia, dyspepsia, lymphocytes, leukopenia, sodium, pyrexia, bronchopneumonia, embolism, deafness, influenza, muscle spasm, vascular disorder, myocardial infarction, gas, musculoskeletal pain, lymphopenia, edema peripheral, purpura, erythema, hypertension, infusion reaction, dyspnea exertional, spep, cl, tumor lysis syndrome, pulmonary embolism, anxiety, vision blurred, rash, skeletal pain, congestive heart failure, als, chills, deaf, hepatic failure, uti, multiple myeloma, top, renal impairment, adverse event, thrombotic thrombocytopenic purpura, abdominal pain, dyspnea, sepsis, blurred vision, infection, se, hypercalcemia, pulmonary toxicity, cardiac failure congestive, infusion site reaction, br, spasms, infusion, urinary tract infection, paresthesia, edema, pharyngitis, renal disorder, dehydration, phosphate, ck, febrile neutropenia, insomnia, hyperhidrosis, myocardial ischemia, vomiting, hypoalbuminemia, renal failure acute, toothache, hypophosphatemia, connective tissue disorder, musculoskeletal chest pain, arc, pneumonia, ischemia, mediastinal disorder, cardiac disorder, absolute neutrophil count, thrombocytopenic purpura, hypoesthesia, pulmonary hypertension, viral infection, muscular weakness, myeloma, pain in extremity, eye disorder, rti, hyperglycemia, ms, hypomagnesemia, chest pain, neutrophil count, hypotension, pruritus, nervous system disorder, oc, upper respiratory tract infection, cat, neutropenia, asthenia, fatigue, decreased appetite, arthralgia, tension, encephalopathy, ten, cardiac arrest, tumor, hypertensive emergency, diarrhea, nasopharyngitis, dysphonia, death, muscle spasms, dic, spect, total white blood cell count, nausea, acute renal failure, adverse reaction, hyperkalemia, heart failure, ache, pain, disease progression, anemia, hypokalemia, ect, potassium, flu, infestation, cytopenia, multi-organ failure, hypocalcemia, thrombosis, red vision, abdominal pain upper, oropharyngeal pain, back pain, headache, ra, cataract, phosphorus, renal failure, cu, gh, sth, deep vein thrombosis, hemolytic uremic syndrome, white blood cell count, hypertensive crisis, lead, gastrointestinal disorder, fe, weakness, cough, pulmonary edema, hypertensive, constipation, tic, tia, hemoglobin, epistaxis, albumin, respiratory tract infection, organ failure, k, c syndrome, delirium, infarction, bronchitis, venous thrombosis, myocardial infarct"
1,MULTAQ,adverse reactions,"atrial flutter, adverse drug reaction, oedema, pulmonary fibrosis, rti, uti, ms, hypomagnesemia, ra, p, adverse event, interstitial lung disease, abdominal pain, ecg, ph, pruritus, photosensitivity reaction, oc, cu, leukocytoclastic vasculitis, fibrosis, lung disease, se, sth, tics, ana, asthenia, pulmonary toxicity, br, gastrointestinal disorder, fe, dermatitis, pneumonitis, dermatitis allergic, vasculitis, diarrhea, edema, photosensitivity, gas, para, tia, tic, maculo-papular, eczema, spect, bradycardia, erythema, nausea, atrial flutter with 1:1 atrioventricular conduction, anaphylactic reaction, adverse reaction, spep, vomiting, qtc, injury, cl, dysgeusia, heart failure, k, pain, liver injury, hypokalemia, creatinine, rash, ect, potassium, angioedema, flu, als"
2,JUBLIA,adverse reactions,"application site dermatitis, vesicle, uti, ra, p, adverse event, ph, cat, se, dermatitis, tic, spect, application site pain, adverse reaction, cl, k, pain, vesicles, ect, application site vesicles, als"
3,TEFLARO,adverse reactions,"infestation, cytopenia, dizziness, phlebitis, urticaria, eosinophilia, granulocytosis, hyperglycemia, rti, uti, investigation, ra, top, p, abdominal pain, ph, absssi, renal failure, nervous system disorder, hypersensitivity reaction, thrombocytopenia, oc, infection, nervous, hypersensitivity, cu, neutropenia, se, ana, palpitations, pyrexia, agranulocytosis, br, lead, gastrointestinal disorder, fe, no adverse reaction, palpitation, bp, lp, diarrhea, iga, urti, constipation, transaminases, gas, vascular disorder, convulsion, para, tic, spect, bradycardia, nausea, anaphylaxis, immune system disorder, adverse reaction, colitis, vomiting, hyperkalemia, cl, k, add, pain, anemia, hypokalemia, cardiac disorder, ect, rash, aria, als, hepatitis, sars"
4,DATSCAN,adverse reactions,"dizziness, rti, headache, ra, p, hypersensitivity reaction, oc, injection site reaction, cu, hypersensitivity, se, dry mouth, tic, vertigo, spect, nausea, adverse reaction, scan, cl, k, ache, pain, injection, rash, ect, als, injection site pain"
5,TIVICAY,adverse reactions,"hdl, dizziness, p, ph, lues, hypersensitivity reaction, nervous, drug eruption, ana, musculoskeletal disorder, lipase, iga, blind, gas, vertigo, immune reconstitution syndrome, cl, sting, creatinine, rash, als, flatulence, uti, renal impairment, neutrophils, adverse event, abdominal pain, infection, se, rash maculo-papular, fat redistribution, abnormal dreams, hepatitis c, maculo-papular, ck, insomnia, vomiting, hepatitis, creatine, withdrawn, rti, hyperglycemia, ms, abdominal discomfort, suicidal ideation, pruritus, oc, ldl, alte, hypersensitivity, neutropenia, fatigue, ten, diarrhea, spect, nausea, upper abdominal pain, triglycerides, adverse reaction, rash macular, ivu, ache, pain, ect, hepatitis b, depression, myositis, creatine kinase, adverse drug reaction, bilirubin, headache, ra, rash pruritic, discomfort, serum creatinine, cu, ldl cholesterol, gh, illness, lead, gastrointestinal disorder, fe, para, tic, cavi, tia, cholesterol, hdl cholesterol, k, add, eruption"
6,TAFINLAR,adverse reactions,"hematuria, myalgia, dizziness, p, metastatic melanoma, interstitial lung disease, acne, ph, liver function test, squamous cell carcinoma, arrhythmia, thrombocytopenia, nervous, hyponatremia, polyps, cyst, ana, cellulitis, leukopenia, pyrexia, glucose-6-phosphate dehydrogenase, rash erythematous, embolism, qt interval, muscle spasm, blind, gas, vascular disorder, lymphopenia, edema peripheral, paronychia, erythema, hypertension, peripheral edema, papilloma, rash pustular, promotion, cl, alkaline phosphatase, vision blurred, sting, creatinine, rash, dry skin, congestive heart failure, als, alanine aminotransferase, chills, rash vesicular, febrile reaction, uti, top, adverse event, abdominal pain, acanthoma, hemorrhage, infection, lung disease, se, rash papular, hypercalcemia, rash maculo-papular, cardiomyopathy, br, bone disorder, spasms, urinary tract infection, refractory hypertension, edema, pharyngitis, hyperkeratosis, dehydration, maculo-papular, phosphate, blindness, liver function tests, ck, insomnia, hyperhidrosis, vomiting, hypoalbuminemia, renal failure acute, gingival hemorrhage, actinic keratosis, hypophosphatemia, nephritis, connective tissue disorder, arc, mediastinal disorder, neoplasm, pain in extremity, melanoma, eye disorder, transient blindness, hyperglycemia, ms, hypomagnesemia, abdominal discomfort, pruritus, nervous system disorder, ggt, oc, cat, keratoacanthoma, hypersensitivity, neutropenia, eye hemorrhage, bullous rash, asthenia, fatigue, decreased appetite, arthralgia, dermatitis, tension, pneumonitis, ten, tumor, diarrhea, nasopharyngitis, hemorrhage intracranial, dry mouth, muscle spasms, dic, spect, nausea, adverse reaction, myopathy, electrocardiogram, glucose, rash macular, hyperkalemia, dysesthesia, bilirubinemia, heart failure, ache, pain, disease progression, left ventricular ejection fraction, anemia, cerebral hemorrhage, hypokalemia, ect, brain stem hemorrhage, lymphedema, night sweat, cancer, carcinoma, infestation, cytopenia, hypocalcemia, adverse drug reaction, bilirubin, pancreatitis, ejection fraction, acute coronary syndrome, oropharyngeal pain, back pain, vaginal hemorrhage, folliculitis, onychia, headache, dermatitis acneiform, ra, stomatitis, rash pruritic, discomfort, renal failure, noma, cu, gh, keratosis, sth, glucose-6-phosphate dehydrogenase deficiency, hyperbilirubinemia, lead, g6pd deficiency, gastrointestinal disorder, fe, vitreous hemorrhage, skin papilloma, polyp, cough, constipation, venous thromboembolism, tic, tia, abdominal pain lower, epistaxis, immune system disorder, albumin, night sweats, thromboembolism, abdominal pain upper, qtc, skin toxicity, k, aspartate aminotransferase, add, gastric hemorrhage, palmar-plantar erythrodysesthesia syndrome, alopecia"
7,HORIZANT,adverse reactions,"creatine kinase, dizziness, creatine, weight increased, red vision, eye disorder, rti, uti, confusional state, headache, ra, p, adverse event, ph, nervous system disorder, oc, cu, blurred vision, nervous, gh, sth, se, sedation, weight, ana, asthenia, somnolence, irritability, increased appetite, restless legs syndrome, br, fatigue, t3, gastrointestinal disorder, fe, weight increase, feeling drunk, neuralgia, edema, libido decreased, dry mouth, gas, blind, tia, vertigo, tic, restless legs, gynecomastia, spect, disorientation, balance disorder, nausea, breast enlargement, coma, insomnia, feeling abnormal, adverse reaction, lethargy, peripheral edema, cl, k, ache, confusion, ect, restless, als, flatulence, depression"
8,IMBRUVICA,adverse reactions,"dizziness, lymphocytic leukemia, oedema, petechiae, shock, p, poisoning, ph, lues, skin cancer, fibrillation, hypersensitivity reaction, thrombocytopenia, waldenstrom's macroglobulinemia, nervous, hyperuricemia, polyps, cyst, dyspepsia, ana, pyrexia, bruising, muscle spasm, gas, musculoskeletal pain, vascular disorder, anaphylactic shock, platelets decreased, hypertension, spep, peripheral edema, cl, tumor lysis syndrome, neuropathy, anxiety, vision blurred, uric acid, creatinine, rash, skeletal pain, als, chills, lymphoma, urticaria, peripheral neuropathy, uti, top, neutrophils, adverse event, abdominal pain, dyspnea, mantle cell lymphoma, hemorrhage, uropathy, chronic lymphocytic leukemia, infection, hematoma, se, esophageal reflux, skin infection, br, spasms, urinary tract infection, macroglobulinemia, atrial fibrillation, edema, dehydration, ck, insomnia, lethargy, cll, vomiting, hemoglobin decreased, connective tissue disorder, arthropathy, pneumonia, lymphocytosis, gait instability, mediastinal disorder, globulin, neoplasm, aria, angioedema, laceration, petechia, eye disorder, rti, ms, pruritus, nervous system disorder, oc, upper respiratory tract infection, cat, hypersensitivity, neutropenia, contusion, asthenia, fatigue, decreased appetite, arthralgia, tension, ten, urti, tumor, diarrhea, gastroesophageal reflux disease, muscle spasms, spect, nausea, subdural hematoma, adverse reaction, procedural complication, ache, pain, disease progression, anemia, ect, flu, cancer, infestation, cytopenia, sinusitis, oropharyngeal pain, stomatitis, headache, ra, renal failure, cu, gh, sth, lead, gastrointestinal disorder, fe, polyp, intracranial hemorrhage, cough, oesophageal reflux, constipation, tic, hemoglobin, epistaxis, gastroesophageal reflux, respiratory tract infection, injury, k, leukemia, tb"
9,ULORIC,adverse reactions,"lymphocyte count, hematuria, myalgia, panic attack, activated partial thromboplastin time prolonged, peptic ulcer, thrombocytopenia, dyspepsia, gas, musculoskeletal pain, coagulation test abnormal, bradycardia, splenomegaly, alkaline phosphatase, tiva, anxiety, hematocrit, ulceration, psychotic, prothrombin time prolonged, hemiparesis, proteinuria, urticaria, herpes zoster, dyspnea, joint stiffness, psychotic behavior, neutrophil count decreased, guillain-barre syndrome, palpitation, paresthesia, atrial fibrillation, tachycardia, tubulointerstitial nephritis, mass, paranasal sinus hypersecretion, bun, insomnia, lethargy, hair color changes, itch, connective tissue disorder, arc, thrombocytopenic purpura, hypoesthesia, tinnitus, gait disturbance, petechia, partial thromboplastin time prolonged, neutrophil count, hypotension, low density lipoprotein, paresis, amylase increased, dry mouth, gynecomastia, spect, nervousness, accident, potassium increased, psa, skin lesion, wbc increased, infestation, tsh increased, mcv, hyperlipidemia, discomfort, pollakiuria, gh, pigmentation, gastrointestinal disorder, constipation, creatine increased, cholesterol, stroke, hemoglobin, sneezing, anaphylactic reaction, respiratory tract infection, thirst, sinus bradycardia, alopecia, dizziness, cholelithiasis, petechiae, skin odor abnormal, urinary casts, liver function test, nasal dryness, hyperuricemia, ana, palpitations, somnolence, angio-edema, stiffness, distention, influenza, muscle spasm, lp, tsh increase, dermographism, purpura, gastritis, lithiasis, wbc, gastrointestinal discomfort, ecg abnormal, hypertriglyceridemia, hot flush, abdominal pain, spasms, edema, photosensitivity, hyperhidrosis, hemoglobin decreased, mediastinal disorder, aria, ldh, eye disorder, eeg abnormal, transient ischemic attack, alte, upper respiratory tract infection, anorexia, fatigue, arthralgia, tension, gastroesophageal reflux disease, urine output, muscle spasms, triglycerides, adverse reaction, igm, weight decreased, pain, anemia, ect, hyperchlorhydria, cytopenia, ra, cu, hair growth abnormal, prothrombin time, cough, oesophageal reflux, tic, blood urea increased, k, gout, pancytopenia, add, urine output increased, angina pectoris, tremor, myocardial infarct, skin reaction, tsh, p, ph, ecg, cerebrovascular accident, nervous, weight, ldh increased, sodium, white blood cells, personality change, feeling abnormal, hypertension, spep, rash, skeletal pain, twitching, joint swelling, cardiac murmur, uti, pharyngeal edema, top, renal impairment, urea, liver disorder, se, esophageal reflux, alkaline phosphatase increased, blood urea, amylase, libido decreased, balance disorder, anaphylaxis, vomiting, lymphocyte count decreased, renal insufficiency, cardiac disorder, diabetes, bicarbonate, creatine, rti, hyperglycemia, nephrolithiasis, pruritus, nervous system disorder, ldl, activated partial thromboplastin time, neutropenia, hypercholesterolemia, cystitis, platelet count decreased, dermatitis, emesis, erectile dysfunction, ten, ulcer, death, dic, nausea, ecchymosis, hepatomegaly, leukocytosis, peeling, hypokalemia, potassium, thrombin, hematochezia, depression, platelet count, pancreatitis, creatine phosphokinase, skin discoloration, headache, swelling, renal failure, hepatic steatosis, irritability, lead, incontinence, fe, weakness, agitation, throat irritation, para, epistaxis, immune system disorder, gastroesophageal reflux, influenza-like symptoms, itching, infarction, diabetes mellitus, haematemesis, bronchitis, thromboplastin, hematocrit decreased, mouth ulceration, fibrillation, cyst, leukopenia, mouth ulcer, cholecystitis, deafness, hyposmia, vascular disorder, myocardial infarction, vertigo, urea increased, cl, rbc decreased, vision blurred, creatinine, als, breast pain, flatulence, eeg, deaf, thrombin time, hepatic failure, infection, br, glucose increased, arthritis, cpk, eczema, rhabdomyolysis, dehydration, coagulation test, gingival pain, ck, nephritis, hepatitis, generalized rash, weight decrease, mental impairment, ms, chest pain, flushing, oc, lacunar infarction, cat, hypersensitivity, contusion, asthenia, urti, idiopathic thrombocytopenic purpura, psa increased, migraine, glucose, procedural complication, ache, thrombin time prolonged, flu, jaundice, protein, creatinine increased, sodium increased, sth, stevens johnson syndrome, prothrombin, tia, coma, respiratory tract congestion"
