,drug_name,section_name,gpt_output
0,KYPROLIS,adverse reactions,"thrombosis, febrile neutropenia, oropharyngeal pain, rash, uremic syndrome, cardiac disorder, spep, vascular disorder, cardiac failure congestive, nasopharyngitis, epistaxis, adverse event, pulmonary hypertension, gastrointestinal disorder, cytopenia, pruritus, ischemia, abdominal pain upper, cataract, deaf, renal impairment, multiple myeloma, infection, organ failure, albumin, white blood cell count, adverse reaction, phosphorus, hypotension, back pain, connective tissue disorder, multi-organ failure, tumor, posterior reversible encephalopathy syndrome, insomnia, hemoglobin, musculoskeletal chest pain, spect, disease progression, heart failure, blurred vision, chest pain, cough, encephalopathy, pharyngitis, death, hypophosphatemia, nervous, dizziness, hypoesthesia, hypertensive crisis, decreased appetite, renal disorder, venous thrombosis, hypocalcemia, total white blood cell count, cardiac arrest, acute renal failure, upper respiratory tract infection, hyperuricemia, hypertension, anemia, nervous system disorder, muscular weakness, pain, potassium, dyspnea exertional, infusion site reaction, pyrexia, paresthesia, headache, lymphocytes, myocardial ischemia, hyperglycemia, dyspnea, fatigue, neutropenia, infestation, cardiac failure, myocardial infarct, bronchopneumonia, myeloma, purpura, viral infection, renal failure acute, spasms, mediastinal disorder, hyponatremia, hepatic failure, dyspepsia, pulmonary toxicity, phosphate, edema peripheral, sepsis, arthralgia, tumor lysis syndrome, pulmonary edema, bronchitis, infusion, hyperkalemia, hemolytic uremic syndrome, thrombocytopenic purpura, muscle spasm, tension, asthenia, red vision, constipation, vision blurred, myocardial infarction, skeletal pain, deep vein thrombosis, delirium, nausea, hyperhidrosis, myalgia, vomiting, embolism, diarrhea, urinary tract infection, hypomagnesemia, dehydration, deafness, c syndrome, sodium, pulmonary embolism, musculoskeletal pain, leukopenia, hypertensive, respiratory tract infection, absolute neutrophil count, thrombotic thrombocytopenic purpura, influenza, edema, hypertensive emergency, eye disorder, thrombocytopenia, lead, erythema, decreased hemoglobin, abdominal pain, hypercalcemia, neutrophil count, renal failure, lymphopenia, infarction, weakness, congestive heart failure, toothache, ache, pain in extremity, hypokalemia, muscle spasms, dysphonia, anxiety, pneumonia, infusion reaction, hypoalbuminemia, chills"
1,KYPROLIS,warnings and precautions,"thrombosis, uremic syndrome, confusion, acute respiratory failure, ejection fraction, fever, adverse event, pulmonary hypertension, cytopenia, chest tightness, ischemia, respiratory failure, transaminases, renal impairment, platelet count, sting, shortness of breath, pregnant, pre-medicate, renal insufficiency, multiple myeloma, neurological symptom, ards, adverse reaction, interstitial lung disease, thromboembolic event, hypotension, tumor, posterior reversible encephalopathy syndrome, spect, flushing, heart failure, creatinine, alte, encephalopathy, death, hypertensive crisis, venous thrombosis, cardiac arrest, acute renal failure, syncope, hypertension, headache, myocardial ischemia, volume overload, dyspnea, cardiac failure, myocardial infarct, myeloma, purpura, cardiomyopathy, blind, hepatic failure, pulmonary toxicity, serum creatinine, arthralgia, tumor lysis syndrome, pulmonary edema, infusion, hemolytic uremic syndrome, thrombocytopenic purpura, lethargy, tension, pulmonary arterial hypertension, creatinine clearance, myocardial infarction, pneumonitis, respiratory distress, myalgia, vomiting, embolism, myopathy, pregnancy, c syndrome, pulmonary embolism, hypertensive, lung disease, thrombotic thrombocytopenic purpura, blood pressure, uric acid, seizure, edema, hypertensive emergency, blindness, reversible posterior leukoencephalopathy syndrome, thrombocytopenia, stress, facial flushing, renal failure, pica, arterial hypertension, infarction, weakness, prophylaxis, congestive heart failure, ache, infusion reaction, leukoencephalopathy, acute respiratory distress syndrome, restrictive cardiomyopathy, chills"
2,MULTAQ,adverse reactions,"dermatitis allergic, hypomagnesemia, para, eczema, rash, photosensitivity, spect, anaphylactic reaction, atrial flutter, photosensitivity reaction, bradycardia, heart failure, creatinine, spep, oedema, pulmonary fibrosis, pulmonary toxicity, lung disease, adverse event, gastrointestinal disorder, pruritus, edema, tics, dysgeusia, erythema, maculo-papular, asthenia, atrial flutter with 1:1 atrioventricular conduction, abdominal pain, dermatitis, pneumonitis, adverse reaction, angioedema, interstitial lung disease, nausea, hypokalemia, adverse drug reaction, vasculitis, pain, potassium, leukocytoclastic vasculitis, vomiting, diarrhea, injury, liver injury, fibrosis"
3,MULTAQ,boxed warnings,"death, hospitalization, sinus rhythm, fibrillation, atrial fibrillation, decompensated heart failure, heart failure, permanent atrial fibrillation, stroke"
4,MULTAQ,warnings and precautions,"hypomagnesemia, qt interval, dyspnea, fatigue, weight gain, oophorectomy, rage, azotemia, spect, sinus rhythm, fibrillation, menopausal, heart failure, permanent atrial fibrillation, creatinine, fever, magnesium, contraception, right upper quadrant pain, productive cough, hysterectomy, cough, serum bilirubin, acute liver failure, pulmonary fibrosis, alkaline phosphatase, death, itch, pulmonary toxicity, lung disease, serum creatinine, anorexia, drug interaction, liver failure, atrial fibrillation, edema, tics, itching, stroke, transplant, renal impairment, sting, shortness of breath, hospitalization, aspartate aminotransferase, magnesium level, acute renal failure, renal failure, weight, alanine aminotransferase, bilirubin, pneumonitis, malaise, ventricular dysfunction, adverse reaction, left ventricular dysfunction, interstitial lung disease, nausea, dependent edema, hypovolemia, ache, hypokalemia, pain, potassium, decompensated heart failure, vomiting, jaundice, injury, liver injury, fibrosis"
5,JUBLIA,adverse reactions,"application site dermatitis, adverse reaction, adverse event, spect, vesicle, pain, application site pain, application site vesicles, vesicles, dermatitis"
6,TEFLARO,adverse reactions,"para, neutropenia, infestation, rash, cardiac disorder, spect, urti, hypersensitivity, palpitations, bradycardia, hepatitis, granulocytosis, no adverse reaction, vascular disorder, aria, eosinophilia, immune system disorder, sars, nervous, convulsion, gastrointestinal disorder, dizziness, investigation, cytopenia, hypersensitivity reaction, absssi, hyperkalemia, urticaria, transaminases, thrombocytopenia, lead, constipation, colitis, infection, abdominal pain, renal failure, anaphylaxis, palpitation, adverse reaction, anemia, nervous system disorder, nausea, hypokalemia, pain, agranulocytosis, pyrexia, phlebitis, vomiting, diarrhea, hyperglycemia"
7,TEFLARO,warnings and precautions,"supportive care, para, stemi, hemolytic anemia, spect, hypersensitivity, protein s, alte, no adverse reaction, protein, bacterial infection, hypersensitivity reaction, allergic reaction, skin reaction, strain, transfusion, infection, anemia, adverse reaction, colectomy, colitis, diarrhea"
8,DATSCAN,adverse reactions,"adverse reaction, dry mouth, nausea, injection, scan, vertigo, ache, rash, spect, dizziness, injection site reaction, hypersensitivity, pain, hypersensitivity reaction, headache, injection site pain"
9,DATSCAN,warnings and precautions,"adverse reaction, thyroid neoplasia, injection, scan, erythema, spect, hypersensitivity, skin erythema, potassium, hypersensitivity reaction"
