,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,KYPROLIS,adverse reactions,all,128,158,117.0,11.0,11.0,0.9140625,0.9140625,0.9140625
1,KYPROLIS,adverse reactions,exact-meddra,104,158,102.0,,2.0,,0.9807692307692307,
2,KYPROLIS,adverse reactions,non-meddra,25,158,15.0,,10.0,,0.6,
3,KYPROLIS,adverse reactions,negated,0,158,0.0,,0.0,,,
4,KYPROLIS,adverse reactions,discontinuous,3,158,3.0,,0.0,,1.0,
5,KYPROLIS,warnings and precautions,all,65,101,52.0,26.0,13.0,0.6666666666666666,0.8,0.7272727272727272
6,KYPROLIS,warnings and precautions,exact-meddra,44,101,42.0,,2.0,,0.9545454545454546,
7,KYPROLIS,warnings and precautions,non-meddra,22,101,10.0,,12.0,,0.45454545454545453,
8,KYPROLIS,warnings and precautions,negated,0,101,0.0,,0.0,,,
9,KYPROLIS,warnings and precautions,discontinuous,1,101,1.0,,0.0,,1.0,
10,KYPROLIS,boxed warnings,all,0,0,,,,,,
11,KYPROLIS,boxed warnings,exact-meddra,0,0,,,,,,
12,KYPROLIS,boxed warnings,non-meddra,0,0,,,,,,
13,KYPROLIS,boxed warnings,negated,0,0,,,,,,
14,KYPROLIS,boxed warnings,discontinuous,0,0,,,,,,
15,KYPROLIS,all-concat,all,158,204,140.0,31.0,18.0,0.8187134502923976,0.8860759493670886,0.8510638297872339
16,KYPROLIS,all-concat,exact-meddra,119,204,116.0,,3.0,,0.9747899159663865,
17,KYPROLIS,all-concat,non-meddra,40,204,24.0,,16.0,,0.6,
18,KYPROLIS,all-concat,negated,0,204,0.0,,0.0,,,
19,KYPROLIS,all-concat,discontinuous,4,204,4.0,,0.0,,1.0,
20,MULTAQ,adverse reactions,all,39,46,37.0,7.0,2.0,0.8409090909090909,0.9487179487179487,0.891566265060241
21,MULTAQ,adverse reactions,exact-meddra,26,46,26.0,,0.0,,1.0,
22,MULTAQ,adverse reactions,non-meddra,13,46,11.0,,2.0,,0.8461538461538461,
23,MULTAQ,adverse reactions,negated,0,46,0.0,,0.0,,,
24,MULTAQ,adverse reactions,discontinuous,5,46,5.0,,0.0,,1.0,
25,MULTAQ,warnings and precautions,all,24,70,22.0,48.0,2.0,0.3142857142857143,0.9166666666666666,0.4680851063829787
26,MULTAQ,warnings and precautions,exact-meddra,13,70,13.0,,0.0,,1.0,
27,MULTAQ,warnings and precautions,non-meddra,11,70,9.0,,2.0,,0.8181818181818182,
28,MULTAQ,warnings and precautions,negated,0,70,0.0,,0.0,,,
29,MULTAQ,warnings and precautions,discontinuous,3,70,2.0,,1.0,,0.6666666666666666,
30,MULTAQ,boxed warnings,all,3,9,3.0,5.0,0.0,0.375,1.0,0.5454545454545454
31,MULTAQ,boxed warnings,exact-meddra,3,9,3.0,,0.0,,1.0,
32,MULTAQ,boxed warnings,non-meddra,0,9,0.0,,0.0,,,
33,MULTAQ,boxed warnings,negated,0,9,0.0,,0.0,,,
34,MULTAQ,boxed warnings,discontinuous,0,9,0.0,,0.0,,,
35,MULTAQ,all-concat,all,56,96,52.0,46.0,4.0,0.5306122448979592,0.9285714285714286,0.6753246753246754
36,MULTAQ,all-concat,exact-meddra,32,96,32.0,,0.0,,1.0,
37,MULTAQ,all-concat,non-meddra,24,96,20.0,,4.0,,0.8333333333333334,
38,MULTAQ,all-concat,negated,0,96,0.0,,0.0,,,
39,MULTAQ,all-concat,discontinuous,8,96,7.0,,1.0,,0.875,
40,JUBLIA,adverse reactions,all,5,10,3.0,3.0,2.0,0.5,0.6,0.5454545454545454
41,JUBLIA,adverse reactions,exact-meddra,3,10,3.0,,0.0,,1.0,
