,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,4945.0,1555.0,392.0,0.7607692307692308,0.9265504965336331,0.8355157556813382,0.7224109687456968,0.9303169940525639,0.8027333219130017
1,adverse reactions,discontinuous,282.0,,106.0,,0.7268041237113402,,,0.7371897057191175,
2,adverse reactions,exact-meddra,4142.0,,21.0,,0.9949555608935864,,,0.996452401351738,
3,adverse reactions,negated,24.0,,8.0,,0.75,,,0.7777777777777777,
4,adverse reactions,non-meddra,803.0,,372.0,,0.683404255319149,,,0.6961644777496859,
5,all-concat,all,6221.0,3267.0,817.0,0.6556703204047217,0.8839158851946576,0.7528742587437978,0.6314924550148484,0.8853332946844865,0.7274955429881137
6,all-concat,discontinuous,512.0,,230.0,,0.6900269541778976,,,0.6969074921685635,
7,all-concat,exact-meddra,4789.0,,38.0,,0.9921276154961673,,,0.9935831350997513,
8,all-concat,negated,40.0,,19.0,,0.6779661016949152,,,0.6944444444444445,
9,all-concat,non-meddra,1432.0,,780.0,,0.6473779385171791,,,0.6430410606267731,
10,boxed warnings,all,200.0,254.0,62.0,0.44052863436123346,0.7633587786259542,0.5586592178770949,0.4546227453001233,0.6916883082517757,0.544722421933962
11,boxed warnings,discontinuous,24.0,,9.0,,0.7272727272727273,,,0.4696969696969697,
12,boxed warnings,exact-meddra,134.0,,2.0,,0.9852941176470589,,,0.9948304383788256,
13,boxed warnings,negated,1.0,,2.0,,0.3333333333333333,,,0.3333333333333333,
14,boxed warnings,non-meddra,66.0,,60.0,,0.5238095238095238,,,0.4388888888888889,
15,warnings and precautions,all,1926.0,2298.0,526.0,0.4559659090909091,0.7854812398042414,0.5769922109047334,0.41333160433336746,0.7692023154942891,0.5281059820398405
16,warnings and precautions,discontinuous,217.0,,133.0,,0.62,,,0.6367048427762713,
17,warnings and precautions,exact-meddra,1188.0,,25.0,,0.9793899422918384,,,0.9845542378076181,
18,warnings and precautions,negated,17.0,,10.0,,0.6296296296296297,,,0.642156862745098,
19,warnings and precautions,non-meddra,738.0,,502.0,,0.5951612903225807,,,0.6016797219827328,
0,all,all,7071.0,4107.0,980.0,0.6325818572195384,0.8782759905601789,0.7126803005818999,0.5505118518747147,0.8256728674399257,0.650170364468649
