,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,KYPROLIS,adverse reactions,all,128,185,102.0,83.0,26.0,0.5513513513513514,0.796875,0.6517571884984026
1,KYPROLIS,adverse reactions,exact-meddra,104,185,102.0,,2.0,,0.9807692307692307,
2,KYPROLIS,adverse reactions,non-meddra,25,185,0.0,,25.0,,0.0,
3,KYPROLIS,adverse reactions,negated,0,185,0.0,,0.0,,,
4,KYPROLIS,adverse reactions,discontinuous,3,185,0.0,,3.0,,0.0,
5,KYPROLIS,warnings and precautions,all,65,128,42.0,86.0,23.0,0.328125,0.6461538461538462,0.4352331606217617
6,KYPROLIS,warnings and precautions,exact-meddra,44,128,42.0,,2.0,,0.9545454545454546,
7,KYPROLIS,warnings and precautions,non-meddra,22,128,0.0,,22.0,,0.0,
8,KYPROLIS,warnings and precautions,negated,0,128,0.0,,0.0,,,
9,KYPROLIS,warnings and precautions,discontinuous,1,128,0.0,,1.0,,0.0,
10,KYPROLIS,boxed warnings,all,0,0,,,,,,
11,KYPROLIS,boxed warnings,exact-meddra,0,0,,,,,,
12,KYPROLIS,boxed warnings,non-meddra,0,0,,,,,,
13,KYPROLIS,boxed warnings,negated,0,0,,,,,,
14,KYPROLIS,boxed warnings,discontinuous,0,0,,,,,,
15,MULTAQ,adverse reactions,all,39,69,25.0,44.0,14.0,0.36231884057971014,0.6410256410256411,0.46296296296296297
16,MULTAQ,adverse reactions,exact-meddra,26,69,25.0,,1.0,,0.9615384615384616,
17,MULTAQ,adverse reactions,non-meddra,13,69,0.0,,13.0,,0.0,
18,MULTAQ,adverse reactions,negated,0,69,0.0,,0.0,,,
19,MULTAQ,adverse reactions,discontinuous,5,69,0.0,,5.0,,0.0,
20,MULTAQ,warnings and precautions,all,24,94,13.0,81.0,11.0,0.13829787234042554,0.5416666666666666,0.22033898305084748
21,MULTAQ,warnings and precautions,exact-meddra,13,94,13.0,,0.0,,1.0,
22,MULTAQ,warnings and precautions,non-meddra,11,94,0.0,,11.0,,0.0,
23,MULTAQ,warnings and precautions,negated,0,94,0.0,,0.0,,,
24,MULTAQ,warnings and precautions,discontinuous,3,94,0.0,,3.0,,0.0,
25,MULTAQ,boxed warnings,all,3,18,3.0,15.0,0.0,0.16666666666666666,1.0,0.2857142857142857
26,MULTAQ,boxed warnings,exact-meddra,3,18,3.0,,0.0,,1.0,
27,MULTAQ,boxed warnings,non-meddra,0,18,0.0,,0.0,,,
28,MULTAQ,boxed warnings,negated,0,18,0.0,,0.0,,,
29,MULTAQ,boxed warnings,discontinuous,0,18,0.0,,0.0,,,
30,JUBLIA,adverse reactions,all,5,21,3.0,18.0,2.0,0.14285714285714285,0.6,0.23076923076923073
31,JUBLIA,adverse reactions,exact-meddra,3,21,3.0,,0.0,,1.0,
32,JUBLIA,adverse reactions,non-meddra,2,21,0.0,,2.0,,0.0,
33,JUBLIA,adverse reactions,negated,0,21,0.0,,0.0,,,
34,JUBLIA,adverse reactions,discontinuous,0,21,0.0,,0.0,,,
35,JUBLIA,warnings and precautions,all,0,0,,,,,,
36,JUBLIA,warnings and precautions,exact-meddra,0,0,,,,,,
37,JUBLIA,warnings and precautions,non-meddra,0,0,,,,,,
38,JUBLIA,warnings and precautions,negated,0,0,,,,,,
39,JUBLIA,warnings and precautions,discontinuous,0,0,,,,,,
40,JUBLIA,boxed warnings,all,0,0,,,,,,
41,JUBLIA,boxed warnings,exact-meddra,0,0,,,,,,
42,JUBLIA,boxed warnings,non-meddra,0,0,,,,,,
43,JUBLIA,boxed warnings,negated,0,0,,,,,,
44,JUBLIA,boxed warnings,discontinuous,0,0,,,,,,
45,TEFLARO,adverse reactions,all,30,72,25.0,47.0,5.0,0.3472222222222222,0.8333333333333334,0.49019607843137253
46,TEFLARO,adverse reactions,exact-meddra,26,72,25.0,,1.0,,0.9615384615384616,
47,TEFLARO,adverse reactions,non-meddra,4,72,0.0,,4.0,,0.0,
48,TEFLARO,adverse reactions,negated,0,72,0.0,,0.0,,,
49,TEFLARO,adverse reactions,discontinuous,0,72,0.0,,0.0,,,
50,TEFLARO,warnings and precautions,all,10,42,2.0,40.0,8.0,0.047619047619047616,0.2,0.07692307692307693
51,TEFLARO,warnings and precautions,exact-meddra,2,42,2.0,,0.0,,1.0,
52,TEFLARO,warnings and precautions,non-meddra,8,42,0.0,,8.0,,0.0,
53,TEFLARO,warnings and precautions,negated,0,42,0.0,,0.0,,,
54,TEFLARO,warnings and precautions,discontinuous,2,42,0.0,,2.0,,0.0,
55,TEFLARO,boxed warnings,all,0,0,,,,,,
56,TEFLARO,boxed warnings,exact-meddra,0,0,,,,,,
57,TEFLARO,boxed warnings,non-meddra,0,0,,,,,,
58,TEFLARO,boxed warnings,negated,0,0,,,,,,
59,TEFLARO,boxed warnings,discontinuous,0,0,,,,,,
60,DATSCAN,adverse reactions,all,11,27,8.0,19.0,3.0,0.2962962962962963,0.7272727272727273,0.42105263157894735
61,DATSCAN,adverse reactions,exact-meddra,8,27,8.0,,0.0,,1.0,
62,DATSCAN,adverse reactions,non-meddra,3,27,0.0,,3.0,,0.0,
63,DATSCAN,adverse reactions,negated,0,27,0.0,,0.0,,,
64,DATSCAN,adverse reactions,discontinuous,0,27,0.0,,0.0,,,
65,DATSCAN,warnings and precautions,all,3,26,1.0,25.0,2.0,0.038461538461538464,0.3333333333333333,0.06896551724137931
66,DATSCAN,warnings and precautions,exact-meddra,1,26,1.0,,0.0,,1.0,
67,DATSCAN,warnings and precautions,non-meddra,2,26,0.0,,2.0,,0.0,
68,DATSCAN,warnings and precautions,negated,0,26,0.0,,0.0,,,
69,DATSCAN,warnings and precautions,discontinuous,0,26,0.0,,0.0,,,
70,DATSCAN,boxed warnings,all,0,0,,,,,,
71,DATSCAN,boxed warnings,exact-meddra,0,0,,,,,,
72,DATSCAN,boxed warnings,non-meddra,0,0,,,,,,
73,DATSCAN,boxed warnings,negated,0,0,,,,,,
74,DATSCAN,boxed warnings,discontinuous,0,0,,,,,,
75,TIVICAY,adverse reactions,all,45,91,29.0,62.0,16.0,0.31868131868131866,0.6444444444444445,0.4264705882352941
76,TIVICAY,adverse reactions,exact-meddra,30,91,29.0,,1.0,,0.9666666666666667,
77,TIVICAY,adverse reactions,non-meddra,15,91,0.0,,15.0,,0.0,
