,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,4064.0,6156.0,1273.0,0.39765166340508806,0.7614764849166198,0.5224657710355467,0.35567612038320334,0.7642036366273742,0.4754950898900063
1,adverse reactions,discontinuous,19.0,,369.0,,0.04896907216494845,,,0.06220498455792573,
2,adverse reactions,exact-meddra,4037.0,,126.0,,0.9697333653615181,,,0.9691775859883025,
3,adverse reactions,negated,16.0,,16.0,,0.5,,,0.5198412698412698,
4,adverse reactions,non-meddra,27.0,,1148.0,,0.02297872340425532,,,0.020412768887459774,
5,boxed warnings,all,134.0,901.0,128.0,0.1294685990338164,0.5114503816793893,0.20663068619892055,0.11212014422972863,0.49530012184810945,0.2028126467167255
6,boxed warnings,discontinuous,1.0,,32.0,,0.030303030303030304,,,0.045454545454545456,
7,boxed warnings,exact-meddra,133.0,,3.0,,0.9779411764705882,,,0.9652605459057072,
8,boxed warnings,negated,1.0,,2.0,,0.3333333333333333,,,0.3333333333333333,
9,boxed warnings,non-meddra,1.0,,125.0,,0.007936507936507936,,,0.030303030303030304,
10,warnings and precautions,all,1193.0,5698.0,1259.0,0.1731243651139167,0.4865415986949429,0.2553783581290806,0.14369029484163978,0.4573138493811901,0.22477447341008383
11,warnings and precautions,discontinuous,12.0,,338.0,,0.03428571428571429,,,0.04725108225108225,
12,warnings and precautions,exact-meddra,1166.0,,47.0,,0.9612530915086562,,,0.9567517427632315,
13,warnings and precautions,negated,11.0,,16.0,,0.4074074074074074,,,0.4215686274509804,
14,warnings and precautions,non-meddra,27.0,,1213.0,,0.021774193548387097,,,0.039049140987717224,
0,all,all,5391.0,12755.0,2660.0,0.29709026782762044,0.669606260091914,0.37585443267331153,0.22825474110291716,0.594768708981222,0.33419671256690475
