,drug_name,section_name,gpt_output
0,XEOMIN,adverse reactions,"Dysphagia, Breathing Difficulties, Hypersensitivity, Spread of Effects from Toxin, Cervical Dystonia, Eyelid Ptosis, Dry Eye, Dry Mouth, Diarrhea, Headache, Visual Impairment, Dyspnea, Nasopharyngitis, Respiratory Tract Infection, Neck Pain, Muscle Weakness, Musculoskeletal Pain, Injection Site Pain, Infections, Infestations, Facial Paresis, Eyelid Edema, Blepharospasm, Glabellar Lines, General Disorders, Administration Site Conditions, Respiratory, Thoracic and Mediastinal Disorders, Facial Pain, Sensation of Pressure, Eye Disorders, Eye Disorder, Injection Site Hematoma, Muscle Disorder, Elevation of Eyebrow, Allergic Dermatitis, Localized Allergic Reactions, Swelling, Edema, Erythema, Pruritus, Rash, Herpes Zoster, Muscular Weakness, Muscle Spasm, Dysarthria, Myalgia, Hypersensitivity"
1,XEOMIN,boxed warnings,"asthenia, generalized muscle weakness, diplopia, blurred vision, ptosis, dysphagia, dysphonia, dysarthria, urinary incontinence, breathing difficulties, death"
2,XEOMIN,warnings and precautions,"asthenia, generalized muscle weakness, diplopia, blurred vision, ptosis, dysphagia, dysphonia, dysarthria, urinary incontinence, breathing difficulties, respiratory failure, death, corneal exposure, corneal ulceration, ectropion, ecchymosis, hypoaesthesia, serum sickness, anaphylaxis, urticaria, soft tissue edema, dyspnea, hypersensitivity reactions"
3,QUTENZA,adverse reactions,ADVERSE REACTIONS
4,QUTENZA,warnings and precautions,"Eye and Mucous Membrane Exposure, Aerosolization of Capsaicin, Unintended Skin Exposure, Application Associated Pain, Increase in Blood Pressure, coughing, sneezing, shortness of breath, death, irritation of eyes, irritation of airways, pain, anaphylaxis, hypertension, cardiovascular events, cerebrovascular events"
5,ZYTIGA,adverse reactions,"fatigue, joint swelling or discomfort, edema, hot flush, diarrhea, vomiting, cough, hypertension, dyspnea, urinary tract infection, contusion, anemia, elevated alkaline phosphatase, hypertriglyceridemia, lymphopenia, hypercholesterolemia, hyperglycemia, elevated AST, hypophosphatemia, elevated ALT, hypokalemia, muscle discomfort, arrhythmia, cardiac failure, chest pain or chest discomfort, myopathy, including rhabdomyolysis, non-infectious pneumonitis, death, hypertension, hypernatremia, cardiac arrest, cardiorespiratory arrest, myocardial ischemia or myocardial infarction, sudden death"
6,ZYTIGA,warnings and precautions,"death, hypertension, hypokalemia, fluid retention, mineralocorticoid excess, adrenocortical insufficiency, edema, liver enzyme increases, liver function test elevation, liver toxicity, hepatotoxicity, ALT increases, AST increases, bilirubin increases, liver failure, liver damage"
7,TOVIAZ,adverse reactions,"dry mouth, constipation, angina, chest pain, gastroenteritis, QT prolongation, death, dry eyes, dyspepsia, nausea, abdominal pain, urinary tract infection, upper respiratory tract infection, dysuria, urinary retention, cough, dry throat, edema peripheral, back pain, insomnia, ALT increased, GGT increased, rash, blurred vision, palpitations, hypersensitivity reactions, including angioedema with airway obstruction, face edema, dizziness, headache, somnolence, urticaria, pruritus, diverticulitis, irritable bowel syndrome, electrocardiogram QT corrected interval prolongation"
8,TOVIAZ,warnings and precautions,"angioedema, death, headache, dizziness, somnolence, urinary retention, constipation, narrow-angle glaucoma, myasthenia gravis"
9,STRIBILD,adverse reactions,"lactic acidosis/severe hepatomegaly with steatosis, severe acute exacerbations of hepatitis B, new onset or worsening renal impairment, bone effects of tenofovir DF, immune reconstitution syndrome, nausea, diarrhea, headache, fatigue, insomnia, abnormal dreams, rash, suicidal ideation, suicide attempt, depression, abdominal pain, dyspepsia, vomiting, fever, pain, nasopharyngitis, pneumonia, sinusitis, upper respiratory tract infection, arthralgia, back pain, myalgia, paresthesia, peripheral neuropathy, anxiety, increased cough, rhinitis, skin discoloration, hyperpigmentation, proteinuria, increased creatinine, decreased estimated creatinine clearance, elevated serum creatinine, laboratory abnormalities (e.g., AST, ALT, amylase, creatine kinase, urine RBC), bone fractures, pancreatitis, increased amylase, abdominal pain, hepatic steatosis, hepatitis, increased liver enzymes, rhabdomyolysis, osteomalacia, muscular weakness, myopathy, death, acute renal failure, renal failure, acute tubular necrosis, Fanconi syndrome, proximal renal tubulopathy, interstitial nephritis, nephrogenic diabetes insipidus, renal insufficiency, polyuria, and asthenia."
