,drug_name,section_name,gpt_output
0,XEOMIN,boxed warnings,"Asthenia, generalized muscle weakness, diplopia, blurred vision, ptosis, dysphagia, dysphonia, dysarthria, urinary incontinence, breathing difficulties, death, swallowing difficulties."
1,XEOMIN,warnings and precautions,"respiratory difficulties, speech difficulties, swallowing difficulties, dysphagia, generalized muscle weakness, diplopia, blurred vision, ptosis, dysphonia, dysarthria, urinary incontinence, breathing difficulties, asthenia, asthma, anaphylaxis, serum sickness, urticaria, soft tissue edema, dyspnea, neck muscle weakness, neck muscle atrophy, neck muscle tenderness, nausea, pyrexia, bradycardia, hypotension, corneal exposure, corneal ulceration, ectropion, reduced blinking, narrow angle glaucoma, injection site ecchymosis, death."
2,QUTENZA,adverse reactions,"Application site erythema, application site pain, application site pruritus, application site papules, application site edema, application site swelling, application site dryness, nasopharyngitis, bronchitis, sinusitis, nausea, vomiting, pruritus, hypertension, application site urticaria, application site paresthesia, application site dermatitis, application site hyperesthesia, application site excoriation, application site warmth, application site anesthesia, application site bruising, application site inflammation, application site exfoliation, peripheral edema, headache, burning sensation, peripheral sensory neuropathy, dizziness, dysgeusia, hyperesthesia, hypoesthesia, cough, throat irritation, abnormal skin odor, death."
3,QUTENZA,warnings and precautions,"Eye exposure, mucous membrane exposure, coughing, sneezing, irritation of eyes or airway, increased blood pressure, hypertension, pain, death."
4,ZYTIGA,adverse reactions,"Hypertension, hypokalemia, fluid retention, adrenocortical insufficiency, hepatotoxicity, fatigue, joint swelling or discomfort, edema, hot flush, diarrhea, vomiting, cough, dyspnea, urinary tract infection, contusion, anemia, elevated alkaline phosphatase, hypertriglyceridemia, lymphopenia, hypercholesterolemia, hyperglycemia, elevated AST, hypophosphatemia, elevated ALT, death, fractures, arrhythmia, chest pain or chest discomfort, cardiac failure, cardiac disorder, injury, poisoning and procedural complications, musculoskeletal and connective tissue disorders, gastrointestinal disorders, infections and infestations, respiratory, thoracic and mediastinal disorders, renal and urinary disorders, injury, poisoning and procedural complications, cardiovascular adverse reactions, respiratory, thoracic and mediastinal disorders, musculoskeletal and connective tissue disorders, rhabdomyolysis, non-infectious pneumonitis."
5,ZYTIGA,warnings and precautions,"Hypertension, hypokalemia, fluid retention, cardiovascular disease, left ventricular ejection fraction <50%, New York Heart Association (NYHA) Class II to IV heart failure, adrenocortical insufficiency, infection, stress, liver enzyme increases, liver test elevation, hepatotoxicity, liver function impairment, death."
6,TOVIAZ,adverse reactions,"Dry mouth, constipation, dyspepsia, nausea, abdominal pain upper, urinary tract infection, upper respiratory tract infection, dry eyes, dysuria, urinary retention, cough, dry throat, peripheral edema, back pain, insomnia, increased alanine aminotransferase, increased gamma glutamyltransferase, rash, blurred vision, palpitations, hypersensitivity reactions including angioedema with airway obstruction and face edema, dizziness, headache, somnolence, urticaria, pruritus"
7,TOVIAZ,warnings and precautions,"Angioedema, urinary retention, decreased gastrointestinal motility, narrow-angle glaucoma, somnolence, headache, dizziness, hepatic impairment, severe renal impairment, interaction with CYP3A4 inhibitors, myasthenia gravis, death."
8,STRIBILD,adverse reactions,"Lactic acidosis, severe hepatomegaly with steatosis, severe acute exacerbations of hepatitis B, new onset or worsening renal impairment, bone effects of tenofovir DF, immune reconstitution syndrome, nausea, diarrhea, ocular icterus, flatulence, abdominal pain, vomiting, fever, pain, nasopharyngitis, pneumonia, sinusitis, upper respiratory tract infection, arthralgia, back pain, myalgia, paresthesia, peripheral neuropathy, anxiety, increased cough, rhinitis, depression, suicidal ideation, suicide attempt, abnormal dreams, insomnia, skin discoloration, hepatitis, jaundice, somnolence, headache, dizziness, fatigue, rash, proteinuria, serum creatinine increases, decreased estimated creatinine clearance, alanine aminotransferase (ALT) increases, alkaline phosphatase increases, bilirubin increases, serum glucose abnormalities, glycosuria, neutrophil count decreases, fasting cholesterol increases, fasting triglycerides increases, dyspnea, pancreatitis, abdominal pain, hepatic steatosis, hepatitis, increased liver enzymes, rash, asthenia, lactic acidosis, hypokalemia, hypophosphatemia, rhabdomyolysis, osteomalacia, muscular weakness, myopathy, acute renal failure, renal failure, acute tubular necrosis, Fanconi syndrome, proximal renal tubulopathy, interstitial nephritis, nephrogenic diabetes insipidus, renal insufficiency, increased creatinine, polyuria, death."
9,STRIBILD,boxed warnings,"Lactic acidosis, severe hepatomegaly with steatosis, fatal cases, post treatment acute exacerbation of hepatitis B, hepatitis B virus, discontinuation of EMTRIVA or VIREAD, hepatic function monitoring, anti-hepatitis B therapy, not approved for chronic hepatitis B virus (HBV) infection, fatal cases, nucleoside analogs, tenofovir disoproxil fumarate."
