,drug_name,section_name,gpt_output
0,XEOMIN,adverse reactions,"dysphagia, neck pain, muscle weakness, injection site pain, musculoskeletal pain, musculoskeletal and connective tissue disorders, gastrointestinal disorders, nervous system disorders, general disorders and administration site conditions, infections and infestations, respiratory, thoracic and mediastinal disorders, eyelid ptosis, dry eye, dry mouth, diarrhea, headache, visual impairment, dyspnea, nasopharyngitis, respiratory tract infection, eye disorders, gastrointestinal disorders, infections and infestations, nervous system disorders, headache, nervous system disorders, general disorders and administration site conditions, eye disorders, facial paresis (brow ptosis), injection site hematoma, injection site pain, facial pain, injection site swelling, sensation of pressure, eye swelling, eyelid edema, dysphagia, nausea, flu-like symptoms, injection site pain, injection site reaction, allergic dermatitis, localized allergic reactions like swelling, edema, erythema, pruritus or rash, herpes zoster, muscular weakness, muscle spasm, dysarthria, myalgia, and hypersensitivity."
1,XEOMIN,boxed warnings,"Distant spread of toxin effect, asthenia, generalized muscle weakness, diplopia, blurred vision, ptosis, dysphagia, dysphonia, dysarthria, urinary incontinence, breathing difficulties, swallowing difficulties, death."
2,XEOMIN,warnings and precautions,"asthenia, generalized muscle weakness, diplopia, blurred vision, ptosis, dysphagia, dysphonia, dysarthria, urinary incontinence, breathing difficulties, anaphylaxis, serum sickness, urticaria, soft tissue edema, dyspnea, cervical dystonia, problems with swallowing, speech or respiratory disorders, severe dysphagia, respiratory compromise, corneal exposure, persistent epithelial defect, corneal ulceration, narrow angle glaucoma, ectropion, ptosis"
3,QUTENZA,adverse reactions,"Application site erythema, application site pain, application site pruritus, application site papules, application site edema, application site swelling, application site dryness, nasopharyngitis, bronchitis, sinusitis, nausea, vomiting, pruritus, hypertension, headache, burning sensation, peripheral sensory neuropathy, dizziness, dysgeusia, cough, throat irritation, application site urticaria, application site paresthesia, application site dermatitis, application site hyperesthesia, application site excoriation, application site warmth, application site anesthesia, application site bruising, application site inflammation, application site exfoliation, peripheral edema."
4,QUTENZA,warnings and precautions,"no adverse reactions, does not apply to the face or scalp, irritation of eyes or airways, skin not intended to be treated, may experience substantial procedural pain, patients may be at an increased risk of adverse cardiovascular effects, transient increases in blood pressure, unstable or poorly controlled hypertension, recent history of cardiovascular or cerebrovascular events, aerosolization of capsaicin, coughing or sneezing, shortness of breath, inhalation of airborne capsaicin, irritation of eyes or mucous membranes, unintended skin exposure, application associated pain, increases in blood pressure, acute pain during and following the application procedure, local cooling, use of a local anesthetic, use of appropriate analgesic medication, opioids, increased risk of adverse cardiovascular effects, unrelated to pretreatment blood pressure, related to treatment-related increases in pain, monitor blood pressure periodically, provide adequate support for treatment related pain."
5,ZYTIGA,adverse reactions,"Fatigue (hypothetical), Joint swelling or discomfort (common, discontinuous), Edema (common), Hot flush (common), Diarrhea (common), Vomiting (common), Cough (common), Hypertension (common), Dyspnea (common), Urinary tract infection (common), Contusion (common), Anemia (common laboratory abnormality), Elevated alkaline phosphatase (common laboratory abnormality), Hypertriglyceridemia (common laboratory abnormality), Lymphopenia (common laboratory abnormality), Hypercholesterolemia (common laboratory abnormality), Hyperglycemia (common laboratory abnormality), Elevated AST (common laboratory abnormality), Hypophosphatemia (common laboratory abnormality), Elevated ALT (common laboratory abnormality), Hypokalemia (common laboratory abnormality), Hypertension ( Study 1: 1.3%, Study 2: 3.9%), Cardiac failure ( Study 1: 2.1%, Study 2: not provided), Cardiac failure ( Study 1: 1.6%, Study 2: not provided, fatal in both studies), Arrhythmias ( Study 1: 1.1%, Study 2: 3.1%, fatal in both studies), Cardiorespiratory arrest ( Study 1: 0.5%, Study 2: 0.3%, fatal in both studies), Myocardial ischemia or myocardial infarction (fatal in both studies), Non-infectious pneumonitis (post-marketing), Myopathy, including rhabdomyolysis (post-marketing)"
6,ZYTIGA,warnings and precautions,"Hypertension, Hypokalemia, Fluid retention, Adrenocortical insufficiency, Increased liver enzymes, Liver test elevation, Liver enzyme increases, Hepatotoxicity, Left ventricular ejection fraction decreased, NYHA Class II to IV heart failure"
7,TOVIAZ,adverse reactions,"Dry mouth, constipation, blurred vision, palpitations, hypersensitivity reactions, dizziness, headache, somnolence, urticaria, pruritus, QT corrected interval prolongation"
8,TOVIAZ,warnings and precautions,"Angioedema, urinary retention, decreased gastrointestinal motility, narrow-angle glaucoma, somnolence, dizziness, headache, hepatic impairment, severe renal impairment, interaction with potent CYP3A4 inhibitors, myasthenia gravis."
9,STRIBILD,adverse reactions,"Lactic Acidosis, Severe Hepatomegaly with Steatosis, Severe Acute Exacerbations of Hepatitis B, New Onset or Worsening Renal Impairment, Bone Effects of Tenofovir DF, Immune Reconstitution Syndrome, Diarrhea, Flatulence, Nausea, Fatigue, Jaundice, Somnolence, Headache, Dizziness, Insomnia, Abnormal dreams, Rash, Abdominal pain, Dyspepsia, Vomiting, Fever, Pain, Nasopharyngitis, Pneumonia, Sinusitis, Upper respiratory tract infection, Arthralgia, Back pain, Myalgia, Paresthesia, Peripheral neuropathy, Anxiety, Increased cough, Rhinitis, Depression, Hematuria, Proteinuria, Increased serum creatinine, Decreased eGFR, Alkaline phosphatase, Bilirubin, Serum glucose, Glycosuria, Neutrophils, Fasting cholesterol, Fasting triglycerides, Total cholesterol, HDL-cholesterol, LDL-cholesterol, Triglycerides, Dyspnea, Pancreatitis, Increased amylase, Abdominal pain, Hepatic steatosis, Hepatitis, Asthenia, Allergic reaction, including angioedema, Hypokalemia, Hypophosphatemia, Rhabdomyolysis, Osteomalacia, Muscular weakness, Myopathy, Acute renal failure, Renal failure, Acute tubular necrosis, Fanconi syndrome, Proximal renal tubulopathy, Interstitial nephritis, Nephrogenic diabetes insipidus, Renal insufficiency, Increased creatinine, Polyuria, No adverse reactions."
