,drug_name,section_name,gpt_output
0,XEOMIN,adverse reactions,"hypersensitivity, dysphagia, breathing difficulties, spread of effects from toxin, neck pain, muscle weakness, injection site pain, musculoskeletal pain, eyelid ptosis, dry eye, dry mouth, diarrhea, headache, visual impairment, dyspnea, nasopharyngitis, respiratory tract infection, facial paresis, injection site hematoma, eyelid edema, blepharospasm, eye disorder, sensation of pressure, flu-like symptoms, injection site reaction, allergic dermatitis, localized allergic reactions, swelling, edema, erythema, pruritus, rash, herpes zoster, muscle spasm, dysarthria, myalgia, hypersensitivity"
1,XEOMIN,boxed warnings,"asthenia, generalized muscle weakness, diplopia, blurred vision, ptosis, dysphagia, dysphonia, dysarthria, urinary incontinence, breathing difficulties, death"
2,XEOMIN,warnings and precautions,"peripheral neuropathy, anaphylaxis, infusion reactions, hematologic toxicities, serious infections, opportunistic infections, tumor lysis syndrome, severe renal impairment, moderate hepatic impairment, severe hepatic impairment, hepatotoxicity, respiratory difficulties, speech difficulties, swallowing difficulties, compromised respiratory function, dysphagia, neuromuscular disorders, cervical dystonia, corneal exposure, corneal ulceration, diplopia, ptosis, asthenia, generalized muscle weakness, blurred vision, dysphonia, dysarthria, urinary incontinence, breathing difficulties, hypersensitivity reactions, serum sickness, urticaria, soft tissue edema, dyspnea, severe dysphagia, respiratory failure, peripheral motor neuropathic diseases, amyotrophic lateral sclerosis, neuromuscular junctional disorders, myasthenia gravis, Lambert-Eaton syndrome, ectropion, ecchymosis, death"
3,QUTENZA,adverse reactions,"application-associated pain, increase in blood pressure, application site erythema, application site pain, application site pruritus, application site papules, application site edema, application site swelling, application site dryness, nasopharyngitis, bronchitis, sinusitis, nausea, vomiting, pruritus, hypertension, application site urticaria, application site paresthesia, application site dermatitis, application site hyperesthesia, application site excoriation, application site warmth, application site anesthesia, application site bruising, application site inflammation, application site exfoliation, peripheral edema, headache, burning sensation, peripheral sensory neuropathy, dizziness, dysgeusia, hyperesthesia, hypoesthesia, cough, throat irritation, abnormal skin odor"
4,QUTENZA,warnings and precautions,"eye and mucous membrane exposure, coughing, sneezing, irritation of eyes, irritation of airways, shortness of breath, unintended skin exposure, procedural pain, increase in blood pressure"
5,ZYTIGA,adverse reactions,"hypertension, hypokalemia, fluid retention, mineralocorticoid excess, adrenocortical insufficiency, hepatotoxicity, fatigue, joint swelling, discomfort, edema, hot flush, diarrhea, vomiting, cough, dyspnea, urinary tract infection, contusion, anemia, elevated alkaline phosphatase, hypertriglyceridemia, lymphopenia, hypercholesterolemia, hyperglycemia, elevated AST, hypophosphatemia, elevated ALT, muscle discomfort, dyspepsia, upper respiratory tract infection, urinary frequency, nocturia, fractures, arrhythmia, chest pain, chest discomfort, cardiac failure, pyrexia, groin pain, constipation, insomnia, falls, nasopharyngitis, hematuria, rash, hypernatremia, non-infectious pneumonitis, myopathy, rhabdomyolysis, death"
6,ZYTIGA,warnings and precautions,"mineralocorticoid excess, cardiovascular disease, hypertension, hypokalemia, fluid retention, adrenocortical insufficiency, hepatotoxicity, liver enzymes increase, drug interruption, dose modification, discontinuation, liver function, edema, myocardial infarction, ventricular arrhythmia, left ventricular ejection fraction, heart failure, New York Heart Association Class heart failure, ALT increase, AST increase, bilirubin levels, liver test elevation, liver enzyme increases, serum transaminases, clinical symptoms of hepatotoxicity, liver function tests"
7,TOVIAZ,adverse reactions,"peripheral neuropathy, anaphylaxis, infusion reactions, hematologic toxicities, infections, opportunistic infections, tumor lysis syndrome, increased toxicity (in the presence of severe renal impairment), increased toxicity (in the presence of moderate or severe hepatic impairment), hepatotoxicity, dry mouth, constipation, dyspepsia, nausea, abdominal pain upper, urinary tract infection, upper respiratory tract infection, dry eyes, dysuria, urinary retention, cough, dry throat, edema peripheral, back pain, insomnia, ALT increased, GGT increased, rash, blurred vision, palpitations, hypersensitivity reactions, angioedema with airway obstruction, face edema, dizziness, headache, somnolence, urticaria, pruritus"
8,TOVIAZ,warnings and precautions,"angioedema, urinary retention, decreased gastrointestinal motility, narrow-angle glaucoma, somnolence, headache, dizziness, death"
9,STRIBILD,adverse reactions,"peripheral neuropathy, anaphylaxis, infusion reactions, hematologic toxicities, infections, opportunistic infections, tumor lysis syndrome, increased toxicity, hepatotoxicity, lactic acidosis, severe hepatomegaly with steatosis, severe acute exacerbations of hepatitis B, new onset renal impairment, worsening renal impairment, bone effects, immune reconstitution syndrome, nausea, diarrhea, ocular icterus, flatulence, fatigue, jaundice, somnolence, headache, dizziness, insomnia, abnormal dreams, rash, suicidal ideation, suicide attempt, depression, abdominal pain, dyspepsia, vomiting, fever, pain, nasopharyngitis, pneumonia, sinusitis, upper respiratory tract infection, arthralgia, back pain, myalgia, paresthesia, peripheral neuropathy, peripheral neuritis, neuropathy, anxiety, increased cough, rhinitis, skin discoloration, hyperpigmentation, proteinuria, serum creatinine increase, estimated creatinine clearance decrease, bone mineral density decrease, bone fractures, allergic reaction, angioedema, hypokalemia, hypophosphatemia, dyspnea, pancreatitis, increased amylase, hepatic steatosis, hepatitis, increased liver enzymes, rhabdomyolysis, osteomalacia, muscular weakness, myopathy, acute renal failure, renal failure, acute tubular necrosis, Fanconi syndrome, proximal renal tubulopathy, interstitial nephritis, nephrogenic diabetes insipidus, renal insufficiency, polyuria, asthenia"
10,STRIBILD,boxed warnings,"peripheral neuropathy, anaphylaxis, infusion reactions, hematologic toxicities, serious infections, opportunistic infections, tumor lysis syndrome, increased toxicity, renal impairment, hepatic impairment, hepatotoxicity, lactic acidosis, severe hepatomegaly with steatosis, death, post treatment acute exacerbation of hepatitis B, severe acute exacerbations of hepatitis B"
11,STRIBILD,warnings and precautions,"renal impairment, acute renal failure, Fanconi syndrome, drug interactions, loss of therapeutic effect, resistance, adverse reactions, decreases in bone mineral density (BMD), bone loss, osteoporosis, pathologic fracture, redistribution/accumulation of body fat, central obesity, dorsocervical fat enlargement (buffalo hump), peripheral wasting, facial wasting, breast enlargement, cushingoid appearance, immune reconstitution syndrome, inflammatory response, opportunistic infections, Mycobacterium avium infection, cytomegalovirus, Pneumocystis jirovecii pneumonia (PCP), tuberculosis, autoimmune disorders, Graves' disease, polymyositis, Guillain-Barre syndrome, lactic acidosis, severe hepatomegaly with steatosis, death, liver decompensation, liver failure, hepatitis B exacerbation, proximal renal tubulopathy, bone pain, pain in extremities, fractures, muscular pain, weakness, hypophosphatemia, osteomalacia, arthralgias, muscle pain"
12,FARXIGA,adverse reactions,"hypotension, impairment in renal function, hypoglycemia, genital mycotic infections, increases in low-density lipoprotein cholesterol, bladder cancer, nasopharyngitis, urinary tract infections, back pain, increased urination, male genital mycotic infections, nausea, influenza, dyslipidemia, constipation, discomfort with urination, pain in extremity, volume depletion, dehydration, hypovolemia, orthostatic hypotension, renal failure, blood creatinine increase, bone fractures, hypersensitivity reactions, angioedema, urticaria, anaphylactic reactions, severe cutaneous adverse reactions, increase in hematocrit, increase in serum inorganic phosphorus, hyperphosphatemia"
13,FARXIGA,warnings and precautions,"hypotension, impairment in renal function, hypoglycemia, genital mycotic infections, increased LDL-C, bladder cancer"
