,drug_name,section_name,gpt_output
0,XEOMIN,adverse reactions,"hypersensitivity, dysphagia, breathing difficulties, spread of effects from toxin, neck pain, muscle weakness, injection site pain, musculoskeletal pain, eyelid ptosis, dry eye, dry mouth, diarrhea, headache, visual impairment, dyspnea, nasopharyngitis, respiratory tract infection, facial paresis, injection site hematoma, eyelid edema, blepharospasm, eye disorder, sensation of pressure, flu-like symptoms, injection site reaction, allergic dermatitis, localized allergic reactions, swelling, edema, erythema, pruritus, rash, herpes zoster, muscle spasm, dysarthria, myalgia, hypersensitivity"
1,XEOMIN,boxed warnings,"asthenia, generalized muscle weakness, diplopia, blurred vision, ptosis, dysphagia, dysphonia, dysarthria, urinary incontinence, breathing difficulties, death"
2,XEOMIN,warnings and precautions,"respiratory difficulties, speech difficulties, swallowing difficulties, compromised respiratory function, dysphagia, neuromuscular disorders, clinical effects of treatment, cervical dystonia, dysphagia, corneal exposure, corneal ulceration, ulceration, perforation, diplopia, ptosis, asthenia, generalized muscle weakness, blurred vision, dysphonia, dysarthria, urinary incontinence, breathing difficulties, death, hypersensitivity reactions, anaphylaxis, serum sickness, urticaria, soft tissue edema, dyspnea, respiratory failure, neuromuscular junctional disorders, amyotrophic lateral sclerosis, myasthenia gravis, Lambert-Eaton syndrome, ectropion, narrow angle glaucoma, ecchymosis, transmission of viral diseases, Creutzfeldt-Jakob disease"
3,QUTENZA,adverse reactions,"application-associated pain, increase in blood pressure, application site erythema, application site pain, application site pruritus, application site papules, application site edema, application site swelling, application site dryness, nasopharyngitis, bronchitis, sinusitis, nausea, vomiting, pruritus, hypertension, application site urticaria, application site paresthesia, application site dermatitis, application site hyperesthesia, application site excoriation, application site warmth, application site anesthesia, application site bruising, application site inflammation, application site exfoliation, peripheral edema, headache, burning sensation, peripheral sensory neuropathy, dizziness, dysgeusia, hyperesthesia, hypoesthesia, cough, throat irritation, abnormal skin odor"
4,QUTENZA,warnings and precautions,"eye irritation, mucous membrane irritation, coughing, sneezing, skin irritation, increased blood pressure, procedural pain, shortness of breath"
5,ZYTIGA,adverse reactions,"hypertension, hypokalemia, fluid retention, mineralocorticoid excess, adrenocortical insufficiency, hepatotoxicity, fatigue, joint swelling, discomfort, edema, hot flush, diarrhea, vomiting, cough, dyspnea, urinary tract infection, contusion, anemia, elevated alkaline phosphatase, hypertriglyceridemia, lymphopenia, hypercholesterolemia, hyperglycemia, elevated AST, hypophosphatemia, elevated ALT, muscle discomfort, dyspepsia, upper respiratory tract infection, urinary frequency, nocturia, fractures, arrhythmia, chest pain, cardiac failure, pyrexia, groin pain, constipation, insomnia, falls, nasopharyngitis, hematuria, rash, hypernatremia, non-infectious pneumonitis, myopathy, rhabdomyolysis, death"
6,ZYTIGA,warnings and precautions,"mineralocorticoid excess, hypertension, hypokalemia, fluid retention, adrenocortical insufficiency, hepatotoxicity"
7,TOVIAZ,adverse reactions,"dry mouth, constipation, dyspepsia, nausea, abdominal pain upper, urinary tract infection, upper respiratory tract infection, dry eyes, dysuria, urinary retention, cough, dry throat, edema peripheral, back pain, insomnia, ALT increased, GGT increased, rash, blurred vision, palpitations, hypersensitivity reactions, angioedema, airway obstruction, face edema, dizziness, headache, somnolence, urticaria, pruritus"
8,TOVIAZ,warnings and precautions,"angioedema, urinary retention, decreased gastrointestinal motility, narrow-angle glaucoma, central nervous system effects, headache, dizziness, somnolence, hepatic impairment, renal impairment, myasthenia gravis"
9,STRIBILD,adverse reactions,"lactic acidosis, severe hepatomegaly with steatosis, exacerbations of hepatitis B, renal impairment, bone effects, immune reconstitution syndrome, nausea, diarrhea, ocular icterus, flatulence, fatigue, jaundice, somnolence, headache, dizziness, insomnia, abnormal dreams, rash, suicidal ideation, suicide attempt, depression, abdominal pain, dyspepsia, vomiting, fever, pain, nasopharyngitis, pneumonia, sinusitis, upper respiratory tract infection, arthralgia, back pain, myalgia, paresthesia, peripheral neuropathy, peripheral neuritis, neuropathy, anxiety, increased cough, rhinitis, skin discoloration, hyperpigmentation, proteinuria, allergic reaction, angioedema, hypokalemia, hypophosphatemia, dyspnea, pancreatitis, increased amylase, hepatic steatosis, hepatitis, increased liver enzymes, rhabdomyolysis, osteomalacia, muscular weakness, myopathy, acute renal failure, renal failure, acute tubular necrosis, Fanconi syndrome, proximal renal tubulopathy, interstitial nephritis, nephrogenic diabetes insipidus, renal insufficiency, increased creatinine, polyuria, asthenia"
10,STRIBILD,boxed warnings,"lactic acidosis, severe hepatomegaly with steatosis, post treatment acute exacerbation of hepatitis B, death"
11,STRIBILD,warnings and precautions,"renal impairment, acute renal failure, Fanconi syndrome, drug interactions, loss of virologic response, decreases in bone mineral density (BMD), redistribution/accumulation of body fat, immune reconstitution syndrome, lactic acidosis, severe hepatomegaly with steatosis, death, exacerbations of hepatitis B, renal tubular dysfunction, proximal renal tubulopathy, bone pain, pain in extremities, fractures, muscular pain, weakness, osteomalacia, arthralgias, hypophosphatemia, central obesity, dorsocervical fat enlargement (buffalo hump), peripheral wasting, facial wasting, breast enlargement, ""cushingoid appearance"", inflammatory response, Mycobacterium avium infection, cytomegalovirus, Pneumocystis jirovecii pneumonia (PCP), tuberculosis, autoimmune disorders, Graves' disease, polymyositis, Guillain-Barre syndrome"
12,FARXIGA,adverse reactions,"hypotension, renal function impairment, hypoglycemia, genital mycotic infections, increased LDL-C, bladder cancer, nasopharyngitis, urinary tract infections, back pain, increased urination, male genital mycotic infections, nausea, influenza, dyslipidemia, constipation, discomfort with urination, pain in extremity, volume depletion, dehydration, hypovolemia, orthostatic hypotension, renal failure, blood creatinine increase, bone fractures, hypersensitivity reactions, angioedema, urticaria, anaphylactic reactions, severe cutaneous adverse reactions, hematocrit increase, serum inorganic phosphorus increase, LDL cholesterol increase"
13,FARXIGA,warnings and precautions,"hypotension, impairment in renal function, hypoglycemia, genital mycotic infections, increased LDL-C, bladder cancer"
14,VICTRELIS,adverse reactions,"anemia, neutropenia, pancytopenia, hypersensitivity, fatigue, nausea, headache, dysgeusia, diarrhea, vomiting, dry mouth, chills, asthenia, decreased appetite, arthralgia, dizziness, insomnia, irritability, dyspnea exertional, alopecia, dry skin, rash, agranulocytosis, thrombocytopenia, mouth ulceration, stomatitis, pneumonia, sepsis, angioedema, urticaria, drug rash with eosinophilia and systemic symptoms (DRESS) syndrome, exfoliative rash, exfoliative dermatitis, Stevens-Johnson syndrome, toxic skin eruption, toxicoderma"
15,VICTRELIS,warnings and precautions,"'embryofetal toxicity, birth defects, fetal death, anemia, neutropenia, hypersensitivity, urticaria, angioedema, pancytopenia, thromboembolic events, pulmonary embolism, acute myocardial infarction, cerebrovascular accident, deep vein thrombosis, death'"
16,VIMIZIM,adverse reactions,"'anaphylaxis, hypersensitivity reactions, pyrexia, vomiting, headache, nausea, abdominal pain, chills, fatigue, immunogenicity, anti-drug antibodies, neutralizing antibodies'"
17,VIMIZIM,boxed warnings,"'anaphylaxis, cough, erythema, throat tightness, urticaria, flushing, cyanosis, hypotension, rash, dyspnea, chest discomfort, gastrointestinal symptoms, nausea, abdominal pain, retching, vomiting, hypersensitivity reactions, acute respiratory illness, respiratory compromise, death'"
18,VIMIZIM,warnings and precautions,"'anaphylaxis, hypersensitivity reactions, cough, erythema, throat tightness, urticaria, flushing, cyanosis, hypotension, rash, dyspnea, chest discomfort, gastrointestinal symptoms, nausea, abdominal pain, retching, vomiting, peripheral edema, acute respiratory complications, sleep apnea, spinal or cervical cord compression, back pain, paralysis, urinary incontinence, fecal incontinence, death'"
