,drug_name,section_name,gpt_output
0,XEOMIN,adverse reactions,"hypersensitivity, dysphagia, breathing difficulties, spread of effects from toxin, neck pain, muscle weakness, injection site pain, musculoskeletal pain, eyelid ptosis, dry eye, dry mouth, diarrhea, headache, visual impairment, dyspnea, nasopharyngitis, respiratory tract infection, facial paresis, injection site hematoma, eyelid edema, sensation of pressure, blepharospasm, eye disorder, immunogenicity, eye swelling, nausea, flu-like symptoms, injection site reaction, allergic dermatitis, localized allergic reactions, swelling, edema, erythema, pruritus, rash, herpes zoster, muscle spasm, dysarthria, myalgia, hypersensitivity"
1,XEOMIN,boxed warnings,"Peripheral neuropathy, anaphylaxis, infusion reactions, hematologic toxicities, serious infections, opportunistic infections, tumor lysis syndrome, increased toxicity in the presence of severe renal impairment, increased toxicity in the presence of moderate or severe hepatic impairment, hepatotoxicity, asthenia, generalized muscle weakness, diplopia, blurred vision, ptosis, dysphagia, dysphonia, dysarthria, urinary incontinence, breathing difficulties, death"
2,XEOMIN,warnings and precautions,"respiratory difficulties, speech difficulties, swallowing difficulties, compromised respiratory function, dysphagia, neuromuscular disorders, exacerbate clinical effects, corneal exposure, corneal ulceration, reduced blinking, ectropion, ptosis, asthenia, generalized muscle weakness, diplopia, blurred vision, dysphonia, dysarthria, urinary incontinence, breathing difficulties, anaphylaxis, serum sickness, urticaria, soft tissue edema, dyspnea, severe dysphagia, respiratory failure, peripheral motor neuropathic diseases, amyotrophic lateral sclerosis, neuromuscular junctional disorders, myasthenia gravis, Lambert-Eaton syndrome, severe dysphagia, respiratory compromise, persistent epithelial defect, VII nerve disorders, narrow angle glaucoma, ecchymosis"
3,QUTENZA,adverse reactions,"application-associated pain, increase in blood pressure, application site erythema, application site pain, application site pruritus, application site papules, application site edema, application site swelling, application site dryness, nasopharyngitis, bronchitis, sinusitis, nausea, vomiting, pruritus, hypertension, application site urticaria, application site paresthesia, application site dermatitis, application site hyperesthesia, application site excoriation, application site warmth, application site anesthesia, application site bruising, application site inflammation, application site exfoliation, peripheral edema, headache, burning sensation, peripheral sensory neuropathy, dizziness, dysgeusia, hyperesthesia, hypoesthesia, cough, throat irritation, abnormal skin odor"
4,QUTENZA,warnings and precautions,"coughing, sneezing, irritation of eyes, irritation of airway, transient increases in blood pressure, procedural pain, increases in blood pressure"
5,ZYTIGA,adverse reactions,"peripheral neuropathy, anaphylaxis, infusion reactions, hematologic toxicities, serious infections, opportunistic infections, tumor lysis syndrome, increased toxicity in the presence of severe renal impairment, increased toxicity in the presence of moderate or severe hepatic impairment, hepatotoxicity, hypertension, hypokalemia, fluid retention, adrenocortical insufficiency, fatigue, joint swelling or discomfort, edema, hot flush, diarrhea, vomiting, cough, dyspnea, urinary tract infection, contusion, anemia, elevated alkaline phosphatase, hypertriglyceridemia, lymphopenia, hypercholesterolemia, hyperglycemia, elevated AST, hypophosphatemia, elevated ALT, muscle discomfort, dyspepsia, upper respiratory tract infection, urinary frequency, nocturia, fractures, arrhythmia, chest pain or chest discomfort, cardiac failure, pyrexia, groin pain, constipation, insomnia, falls, nasopharyngitis, hematuria, rash, hypernatremia, non-infectious pneumonitis, myopathy, rhabdomyolysis"
6,ZYTIGA,warnings and precautions,"mineralocorticoid excess, cardiovascular disease, LVEF < 50%, NYHA Class III or IV heart failure, hypertension, hypokalemia, fluid retention, adrenocortical insufficiency, hepatotoxicity, grade 3 to 4 hypertension, grade 3 to 4 hypokalemia, grade 3 to 4 edema, heart failure, myocardial infarction, ventricular arrhythmia, adrenal insufficiency, liver enzyme increases, ALT or AST increases, treatment discontinuation due to liver enzyme increases, serum transaminases increases, bilirubin levels increases"
7,TOVIAZ,adverse reactions,"dry mouth, constipation, dyspepsia, nausea, abdominal pain upper, urinary tract infection, upper respiratory tract infection, dry eyes, dysuria, urinary retention, cough, dry throat, edema peripheral, back pain, insomnia, ALT increased, GGT increased, rash, angina, chest pain, gastroenteritis, QT prolongation on ECG, blurred vision, palpitations, hypersensitivity reactions, angioedema with airway obstruction, face edema, dizziness, headache, somnolence, urticaria, pruritus, urinary retention, diverticulitis, irritable bowel syndrome, electrocardiogram QT corrected interval prolongation"
8,TOVIAZ,warnings and precautions,"angioedema, urinary retention, severe constipation, narrow-angle glaucoma, somnolence, headache, dizziness, anticholinergic CNS effects"
9,STRIBILD,adverse reactions,"peripheral neuropathy, anaphylaxis, infusion reactions, hematologic toxicities, serious infections, opportunistic infections, tumor lysis syndrome, increased toxicity in the presence of severe renal impairment, increased toxicity in the presence of moderate or severe hepatic impairment, hepatotoxicity, lactic acidosis, severe hepatomegaly with steatosis, severe acute exacerbations of hepatitis B, new onset or worsening renal impairment, bone effects of tenofovir DF, immune reconstitution syndrome, nausea, diarrhea, ocular icterus, flatulence, fatigue, jaundice, somnolence, headache, dizziness, insomnia, abnormal dreams, rash, suicidal ideation, suicide attempt, depression, abdominal pain, dyspepsia, vomiting, fever, pain, nasopharyngitis, pneumonia, sinusitis, upper respiratory tract infection, arthralgia, back pain, myalgia, paresthesia, peripheral neuropathy, anxiety, increased cough, rhinitis, skin discoloration, hyperpigmentation, AST elevation, ALT elevation, amylase elevation, creatine kinase elevation, urine RBC, hematuria, bone mineral density decrease, bone fractures, proteinuria, serum creatinine increase, estimated creatinine clearance decrease, ALT abnormalities, alkaline phosphatase abnormalities, bilirubin abnormalities, serum glucose abnormalities, glycosuria, neutrophils abnormalities, fasting cholesterol abnormalities, fasting triglycerides abnormalities, total cholesterol increase, HDL-cholesterol increase, LDL-cholesterol increase, triglycerides increase, allergic reaction, angioedema, hypokalemia, hypophosphatemia, dyspnea, pancreatitis, hepatic steatosis, hepatitis, increased liver enzymes, rhabdomyolysis, osteomalacia, muscular weakness, myopathy, acute renal failure, renal failure, acute tubular necrosis, Fanconi syndrome, proximal renal tubulopathy, interstitial nephritis, nephrogenic diabetes insipidus, renal insufficiency, polyuria, asthenia"
