,drug_name,section_name,gpt_output
0,KYPROLIS,adverse reactions,"Cardiac toxicities, Acute renal failure, Tumor lysis syndrome, Pulmonary toxicity, Pulmonary hypertension, Dyspnea, Hypertension, Venous thrombosis, Infusion reactions, Thrombocytopenia, Hepatic toxicity and hepatic failure, Thrombotic thrombocytopenic purpura/hemolytic uremic syndrome, Posterior reversible encephalopathy syndrome (PRES), Death"
1,KYPROLIS,warnings and precautions,"Cardiac toxicities: cardiac failure, myocardial infarction, myocardial ischemia, myocardial damage, cardiac arrest, cardiac death, Acute renal failure: renal impairment, acute renal failure, renal failure, Tumor lysis syndrome: tumor lysis, uric acid levels, tumor lysis syndrome, Pulmonary toxicity: ARDS, acute respiratory failure, acute diffuse infiltrative pulmonary disease, pneumonitis, interstitial lung disease, Pulmonary hypertension: PAH, pulmonary arterial hypertension, Dyspnea: dyspnea, shortness of breath, chest tightness, angina, Hypertension: hypertension, hypertensive crisis, hypertensive emergency, Venous thrombosis: venous thromboembolic events, deep venous thrombosis, pulmonary embolism, Infusion reactions: infusion reactions, life-threatening reactions, fever, chills, arthralgia, myalgia, facial flushing, facial edema, vomiting, weakness, syncope, chest tightness, angina, Thrombocytopenia: thrombocytopenia, platelet nadirs, thrombocytopenic purpura/hemolytic uremic syndrome, Hepatic toxicity and hepatofailure: hepatic failure, serum transaminase elevation, hemolytic uremic syndrome, Posterior reversible encephalopathy syndrome: posterior reversible encephalopathy syndrome, RPLS, PRES, seizures, headaches, lethargy, confusion, blindness, altered consciousness, visual and neurological disturbances, hypertension, Embryo-fetal toxicity: embryo-fetal toxicity, fetal harm"
2,MULTAQ,adverse reactions,"Diarrhea, Loose stools, Soft stools, Watery stools, Nausea, Feeling sick, Queasiness, Stomach upset, Abdominal pain, Bellyache, Tummy ache, Abdomen pain, Vomiting, Throwing up, Emesis, Regurgitation, Asthenia, Weakness, Fatigue, Lack of energy, Heart failure, Decreased cardiac output, Reduced cardiac function, Congestive heart failure, Liver injury, Jaundice, Yellow skin and eyes, Elevated liver enzymes, Pulmonary toxicity, Shortness of breath, Wheezing, Chest tightness, Hypochloremia, Low blood chloride levels, Dehydration, Fluid overload, Hypocholesteremia, Low blood cholesterol levels, Cholesterol deficiency, Cholesterol depletion, QT prolongation, Prolonged QT interval, Long QT syndrome, QTc prolongation, Death, Sudden death, Unexpected death, Fatality"
3,MULTAQ,boxed warnings,"Death, Stroke, Heart Failure"
4,MULTAQ,warnings and precautions,"Cardiovascular death (I00-I09), Cardiovascular death in NYHA Class IV or decompensated heart failure (I00-I09), Cardiovascular death and heart failure events in patients with permanent AF (I00-I09), Heart failure (I50-I59), New onset or worsening heart failure (I50-I59), Stroke (G45), Increased risk of stroke in patients with permanent AF (G45), Liver injury (K74), Hepatocellular liver injury, including acute liver failure requiring transplant (K74), Pulmonary toxicity (J45), Cases of interstitial lung disease including pneumonitis and pulmonary fibrosis (J45), Hypokalemia and hypomagnesemia (E05), Hypokalemia or hypomagnesemia may occur with concomitant administration of potassium-depleting diuretics (E05), QT interval prolongation (T01), Moderate QTc (Bazett) prolongation (T01), Renal impairment and failure (N17), Marked increase in serum creatinine, pre-renal azotemia and acute renal failure (N17), Fatal event (X99), Death"
5,JUBLIA,adverse reactions,"Ingrown toenails, ingrown toenail, ingrowing toenail, toenail ingrowth, Application site dermatitis, application site dermatitis, skin irritation, rash, itching, Application site vesicles, application site vesicles, blisters, bumps, sores, Application site pain, application site pain, discomfort, tenderness, soreness, Death, death, fatality, mortality, lethal"
6,TEFLARO,adverse reactions,"Death, hypersensitivity reactions, clostridium difficile-associated diarrhea, direct coombs test seroconversion, diarrhea, nausea, rash, gastrointestinal disorders, laboratory investigations, increased transaminases, metabolism and nutrition disorders, hypokalemia, skin and subcutaneous tissue disorders, rash, vascular disorders, phlebitis, blood and lymphatic system disorders, anemia, eosinophilia, neutropenia, thrombocytopenia, cardiac disorders, bradycardia, palpitations, gastrointestinal disorders, abdominal pain, general disorders and administration site conditions, pyrexia, hepatobiliary disorders, hepatitis, immune system disorders, hypersensitivity, anaphylaxis, infections and infestations, clostridium difficile colitis, metabolism and nutrition disorders, hyperglycemia, hyperkalemia, nervous system disorders, dizziness, convulsion, renal and urinary disorders, renal failure, skin and subcutaneous tissue disorders, urticaria, agranulocytosis"
7,TEFLARO,warnings and precautions,"Anaphylaxis, Skin reactions, Clostridium difficile associated diarrhea (CDAD), Hemolytic anemia, Drug-resistant bacteria"
8,DATSCAN,adverse reactions,"Headache, Nausea, Vertigo, Dry Mouth, Dizziness, Rash, Pruritus, Pain"
9,DATSCAN,warnings and precautions,"Anaphylaxis, anaphylactoid reaction, severe allergic reaction, Erythema, erythematous rash, redness, Pruritus, itching, Skin irritation, skin reaction, dermatological disorder, Thyroid neoplasm, thyroid tumor, thyroid cancer."
