llm_model_name,section,F1,Precision,Recall
DeepCADRME,Adverse Reaction,0.98 (0.029),0.993 (0.018),0.968 (0.05)
DeepCADRME,Boxed Warnings,0.94 (0.128),0.97 (0.085),0.929 (0.166)
DeepCADRME,Warnings and Precautions,0.949 (0.053),0.983 (0.029),0.921 (0.082)
Exact MedDRA,Adverse Reaction,0.826 (0.111),0.952 (0.054),0.742 (0.137)
Exact MedDRA,Boxed Warnings,0.654 (0.234),0.705 (0.335),0.518 (0.314)
Exact MedDRA,Warnings and Precautions,0.614 (0.181),0.828 (0.168),0.51 (0.2)
GPT-3.5,Adverse Reaction,0.909 (0.128),0.88 (0.168),0.968 (0.063)
GPT-3.5,Boxed Warnings,0.873 (0.157),0.958 (0.117),0.839 (0.206)
GPT-3.5,Warnings and Precautions,0.778 (0.16),0.792 (0.181),0.842 (0.21)
GPT-4,Adverse Reaction,0.964 (0.052),0.955 (0.07),0.977 (0.055)
GPT-4,Boxed Warnings,0.919 (0.121),0.991 (0.049),0.877 (0.179)
GPT-4,Warnings and Precautions,0.834 (0.16),0.867 (0.145),0.832 (0.209)
Llama 2,Adverse Reaction,0.827 (0.174),0.751 (0.237),0.962 (0.119)
Llama 2,Boxed Warnings,0.829 (0.197),0.826 (0.263),0.812 (0.305)
Llama 2,Warnings and Precautions,0.624 (0.222),0.616 (0.24),0.764 (0.274)
Llama 3,Adverse Reaction,0.874 (0.138),0.835 (0.228),0.882 (0.229)
Llama 3,Boxed Warnings,0.775 (0.193),0.888 (0.19),0.712 (0.291)
Llama 3,Warnings and Precautions,0.74 (0.185),0.752 (0.225),0.786 (0.253)
Mixtral,Adverse Reaction,0.896 (0.081),0.86 (0.123),0.954 (0.086)
Mixtral,Boxed Warnings,0.794 (0.178),0.925 (0.191),0.711 (0.269)
Mixtral,Warnings and Precautions,0.755 (0.169),0.8 (0.184),0.792 (0.228)
