drug_name,section_name,term,meddra_code
KYPROLIS,adverse reactions,cardiac toxicities,
KYPROLIS,adverse reactions,acute renal failure,10001041.0
KYPROLIS,adverse reactions,tumor lysis syndrome,10045170.0
KYPROLIS,adverse reactions,pulmonary toxicity,10061924.0
KYPROLIS,adverse reactions,pulmonary hypertension,10037400.0
KYPROLIS,adverse reactions,dyspnea,10013968.0
KYPROLIS,adverse reactions,hypertension,10020772.0
KYPROLIS,adverse reactions,venous thrombosis,10047249.0
KYPROLIS,adverse reactions,infusion reactions,
KYPROLIS,adverse reactions,thrombocytopenia,10043551.0
KYPROLIS,adverse reactions,hepatic toxicity,
KYPROLIS,adverse reactions,hepatic failure,10019663.0
KYPROLIS,adverse reactions,thrombotic thrombocytopenic purpura/hemolytic uremic syndrome,
KYPROLIS,adverse reactions,posterior reversible encephalopathy syndrome,10071066.0
KYPROLIS,adverse reactions,anemia,10002034.0
KYPROLIS,adverse reactions,fatigue,10016256.0
KYPROLIS,adverse reactions,nausea,10028813.0
KYPROLIS,adverse reactions,pyrexia,10037660.0
KYPROLIS,adverse reactions,decreased platelets,
KYPROLIS,adverse reactions,diarrhea,10012735.0
KYPROLIS,adverse reactions,decreased lymphocyte,
KYPROLIS,adverse reactions,headache,10019211.0
KYPROLIS,adverse reactions,decreased hemoglobin,10011964.0
KYPROLIS,adverse reactions,cough,10011224.0
KYPROLIS,adverse reactions,edema peripheral,10030124.0
KYPROLIS,adverse reactions,decreased lymphocytes,
KYPROLIS,adverse reactions,decreased absolute neutrophil count,
KYPROLIS,adverse reactions,decreased phosphorus,
KYPROLIS,adverse reactions,neutropenia,10029354.0
KYPROLIS,adverse reactions,decreased total white blood cell count,
KYPROLIS,adverse reactions,muscle spasm,10028333.0
KYPROLIS,adverse reactions,upper respiratory tract infection,10046306.0
KYPROLIS,adverse reactions,hypokalemia,10021015.0
KYPROLIS,adverse reactions,pneumonia,10035664.0
KYPROLIS,adverse reactions,respiratory tract infection,10062352.0
KYPROLIS,adverse reactions,pulmonary embolism,10037377.0
KYPROLIS,adverse reactions,febrile neutropenia,10016288.0
KYPROLIS,adverse reactions,lymphopenia,10025327.0
KYPROLIS,adverse reactions,cardiac arrest,10007515.0
KYPROLIS,adverse reactions,cardiac failure,10007554.0
KYPROLIS,adverse reactions,cardiac failure congestive,10007559.0
KYPROLIS,adverse reactions,myocardial infarction,10028596.0
KYPROLIS,adverse reactions,myocardial ischemia,10028600.0
KYPROLIS,adverse reactions,cataract,10007739.0
KYPROLIS,adverse reactions,vision blurred,10047513.0
KYPROLIS,adverse reactions,abdominal pain,10000081.0
KYPROLIS,adverse reactions,abdominal pain upper,10000087.0
KYPROLIS,adverse reactions,dyspepsia,10013946.0
KYPROLIS,adverse reactions,toothache,10044055.0
KYPROLIS,adverse reactions,chills,10008531.0
KYPROLIS,adverse reactions,infusion site reaction,10054996.0
KYPROLIS,adverse reactions,multi-organ failure,10028154.0
KYPROLIS,adverse reactions,pain,10033371.0
KYPROLIS,adverse reactions,influenza,10022000.0
KYPROLIS,adverse reactions,sepsis,10040047.0
KYPROLIS,adverse reactions,urinary tract infection,10046571.0
KYPROLIS,adverse reactions,viral infection,10047461.0
KYPROLIS,adverse reactions,dehydration,10012174.0
KYPROLIS,adverse reactions,hyperkalemia,10020646.0
KYPROLIS,adverse reactions,hyperuricemia,10020903.0
KYPROLIS,adverse reactions,hypoalbuminemia,10020942.0
KYPROLIS,adverse reactions,hyponatremia,10021036.0
KYPROLIS,adverse reactions,tumor lysis syndrome,10045170.0
KYPROLIS,adverse reactions,muscular weakness,10028372.0
KYPROLIS,adverse reactions,myalgia,10028411.0
KYPROLIS,adverse reactions,hypoesthesia,10020937.0
KYPROLIS,adverse reactions,paresthesia,10033775.0
KYPROLIS,adverse reactions,deafness,10011878.0
KYPROLIS,adverse reactions,anxiety,10002855.0
KYPROLIS,adverse reactions,delirium,10012218.0
KYPROLIS,adverse reactions,renal failure,10038435.0
KYPROLIS,adverse reactions,renal failure acute,10038436.0
KYPROLIS,adverse reactions,renal impairment,10062237.0
KYPROLIS,adverse reactions,dysphonia,10013952.0
KYPROLIS,adverse reactions,epistaxis,10015090.0
KYPROLIS,adverse reactions,oropharyngeal pain,10068319.0
KYPROLIS,adverse reactions,pulmonary edema,10037423.0
KYPROLIS,adverse reactions,erythema,10015150.0
KYPROLIS,adverse reactions,hyperhidrosis,10020642.0
KYPROLIS,adverse reactions,pruritus,10037087.0
KYPROLIS,adverse reactions,deep vein thrombosis,10051055.0
KYPROLIS,adverse reactions,hypotension,10021097.0
KYPROLIS,adverse reactions,cardiac disorders,10007541.0
KYPROLIS,adverse reactions,embolic and thrombotic events,
KYPROLIS,adverse reactions,venous,
KYPROLIS,adverse reactions,hypertension,10020772.0
KYPROLIS,adverse reactions,blood and lymphatic system disorders,10005329.0
KYPROLIS,adverse reactions,gastrointestinal disorders,10017947.0
KYPROLIS,adverse reactions,general disorders and administration site conditions,10018065.0
KYPROLIS,adverse reactions,infections and infestations,10021881.0
KYPROLIS,adverse reactions,metabolism and nutrition disorders,10027433.0
KYPROLIS,adverse reactions,musculoskeletal and connective tissue disorders,10028395.0
KYPROLIS,adverse reactions,nervous system disorders,10029205.0
KYPROLIS,adverse reactions,psychiatric disorders,10037175.0
KYPROLIS,adverse reactions,respiratory,
KYPROLIS,adverse reactions,thoracic,
KYPROLIS,adverse reactions,and mediastinal disorders,
KYPROLIS,adverse reactions,skin and subcutaneous tissue disorders,10040785.0
KYPROLIS,adverse reactions,vascular disorders.,
KYPROLIS,warnings and precautions,cardiac toxicities,
KYPROLIS,warnings and precautions,cardiac failure,10007554.0
KYPROLIS,warnings and precautions,myocardial infarction,10028596.0
KYPROLIS,warnings and precautions,myocardial ischemia,10028600.0
KYPROLIS,warnings and precautions,acute renal failure,10001041.0
KYPROLIS,warnings and precautions,tumor lysis syndrome (tls),
KYPROLIS,warnings and precautions,pulmonary toxicity,10061924.0
KYPROLIS,warnings and precautions,acute respiratory distress syndrome,10001052.0
KYPROLIS,warnings and precautions,acute respiratory failure,10001053.0
KYPROLIS,warnings and precautions,acute diffuse infiltrative pulmonary disease,
KYPROLIS,warnings and precautions,pulmonary hypertension,10037400.0
KYPROLIS,warnings and precautions,dyspnea,10013968.0
KYPROLIS,warnings and precautions,hypertension,10020772.0
KYPROLIS,warnings and precautions,hypertensive crisis,10020802.0
KYPROLIS,warnings and precautions,venous thrombosis,10047249.0
KYPROLIS,warnings and precautions,infusion reactions,
KYPROLIS,warnings and precautions,thrombocytopenia,10043551.0
KYPROLIS,warnings and precautions,hepatic toxicity,
KYPROLIS,warnings and precautions,hepatic failure,10019663.0
KYPROLIS,warnings and precautions,thrombotic thrombocytopenic purpura/hemolytic uremic syndrome (ttp/hus),
KYPROLIS,warnings and precautions,posterior reversible encephalopathy syndrome (pres),
KYPROLIS,warnings and precautions,embryo-fetal toxicity.,
MULTAQ,adverse reactions,new or worsening heart failure,
MULTAQ,adverse reactions,liver injury,10067125.0
MULTAQ,adverse reactions,pulmonary toxicity,10061924.0
MULTAQ,adverse reactions,hypokalemia,10021015.0
MULTAQ,adverse reactions,hypomagnesemia,10021027.0
MULTAQ,adverse reactions,qt prolongation,
MULTAQ,adverse reactions,diarrhea,10012735.0
MULTAQ,adverse reactions,nausea,10028813.0
MULTAQ,adverse reactions,abdominal pain,10000081.0
MULTAQ,adverse reactions,vomiting,10047700.0
MULTAQ,adverse reactions,asthenia,10003549.0
MULTAQ,adverse reactions,gastrointestinal disorders,10017947.0
MULTAQ,adverse reactions,bradycardia,10006093.0
MULTAQ,adverse reactions,dyspeptic signs and symptoms,10013949.0
MULTAQ,adverse reactions,asthenic conditions,10003550.0
MULTAQ,adverse reactions,skin and subcutaneous tissue reactions,
MULTAQ,adverse reactions,photosensitivity reaction,10034972.0
MULTAQ,adverse reactions,dysgeusia,10013911.0
MULTAQ,adverse reactions,increased creatinine,
MULTAQ,adverse reactions,dronedarone 400 mg twice daily,
MULTAQ,adverse reactions,atrial flutter with 1:1 atrioventricular conduction,10076040.0
MULTAQ,adverse reactions,interstitial lung disease,10022611.0
MULTAQ,adverse reactions,pneumonitis,10035742.0
MULTAQ,adverse reactions,pulmonary fibrosis,10037383.0
MULTAQ,adverse reactions,anaphylactic reactions,
MULTAQ,adverse reactions,angioedema,10002424.0
MULTAQ,adverse reactions,vasculitis,10047115.0
MULTAQ,adverse reactions,leukocytoclastic vasculitis.,
MULTAQ,boxed warnings,increased risk of death,
MULTAQ,boxed warnings,stroke,10042244.0
MULTAQ,boxed warnings,heart failure,10019279.0
MULTAQ,boxed warnings,symptomatic heart failure,
MULTAQ,boxed warnings,decompensation requiring hospitalization,
MULTAQ,boxed warnings,nyha class iv heart failure,
MULTAQ,boxed warnings,permanent atrial fibrillation,10071668.0
MULTAQ,boxed warnings,hospitalization for heart failure.,
MULTAQ,warnings and precautions,cardiac rhythm,
MULTAQ,warnings and precautions,liver injury,10067125.0
MULTAQ,warnings and precautions,pulmonary toxicity,10061924.0
MULTAQ,warnings and precautions,hypokalemia,10021015.0
MULTAQ,warnings and precautions,hypomagnesemia,10021027.0
MULTAQ,warnings and precautions,renal impairment,10062237.0
MULTAQ,warnings and precautions,teratogen,
MULTAQ,warnings and precautions,cardiovascular death,
MULTAQ,warnings and precautions,decompensated heart failure,10066159.0
MULTAQ,warnings and precautions,stroke,10042244.0
MULTAQ,warnings and precautions,new onset or worsening heart failure,
MULTAQ,warnings and precautions,hepatocellular liver injury,
MULTAQ,warnings and precautions,acute liver failure,10049844.0
MULTAQ,warnings and precautions,anorexia,10002646.0
MULTAQ,warnings and precautions,nausea,10028813.0
MULTAQ,warnings and precautions,vomiting,10047700.0
MULTAQ,warnings and precautions,fever,10016558.0
MULTAQ,warnings and precautions,malaise,10025482.0
MULTAQ,warnings and precautions,fatigue,10016256.0
MULTAQ,warnings and precautions,right upper quadrant pain,10039162.0
MULTAQ,warnings and precautions,jaundice,10023126.0
MULTAQ,warnings and precautions,dark urine,10085963.0
MULTAQ,warnings and precautions,itching,10023084.0
MULTAQ,warnings and precautions,interstitial lung disease,10022611.0
MULTAQ,warnings and precautions,pneumonitis,10035742.0
MULTAQ,warnings and precautions,pulmonary fibrosis,10037383.0
MULTAQ,warnings and precautions,dyspnea,10013968.0
MULTAQ,warnings and precautions,non-productive cough,
MULTAQ,warnings and precautions,qt interval prolongation,
MULTAQ,warnings and precautions,renal impairment and failure,
MULTAQ,warnings and precautions,serum creatinine,10040230.0
MULTAQ,warnings and precautions,pre-renal azotemia,
MULTAQ,warnings and precautions,acute renal failure,10001041.0
JUBLIA,adverse reactions,ingrown toenails,
JUBLIA,adverse reactions,application site dermatitis,10003036.0
JUBLIA,adverse reactions,application site vesicles,10048941.0
JUBLIA,adverse reactions,application site pain,10003051.0
TEFLARO,adverse reactions,hypersensitivity reactions,
TEFLARO,adverse reactions,clostridium difficile -associated diarrhea,
TEFLARO,adverse reactions,direct coombs' test seroconversion,
TEFLARO,adverse reactions,diarrhea,10012735.0
TEFLARO,adverse reactions,nausea,10028813.0
TEFLARO,adverse reactions,rash,10037844.0
TEFLARO,adverse reactions,constipation,10010774.0
TEFLARO,adverse reactions,vomiting,10047700.0
TEFLARO,adverse reactions,increased transaminases,
TEFLARO,adverse reactions,hypokalemia,10021015.0
TEFLARO,adverse reactions,phlebitis,10034879.0
TEFLARO,adverse reactions,anemia,10002034.0
TEFLARO,adverse reactions,eosinophilia,10014950.0
TEFLARO,adverse reactions,neutropenia,10029354.0
TEFLARO,adverse reactions,thrombocytopenia,10043551.0
TEFLARO,adverse reactions,bradycardia,10006093.0
TEFLARO,adverse reactions,palpitations,10033557.0
TEFLARO,adverse reactions,abdominal pain,10000081.0
TEFLARO,adverse reactions,pyrexia,10037660.0
TEFLARO,adverse reactions,hepatitis,10019717.0
TEFLARO,adverse reactions,hypersensitivity,10020751.0
TEFLARO,adverse reactions,anaphylaxis,10002218.0
TEFLARO,adverse reactions,clostridium difficile colitis,10009657.0
TEFLARO,adverse reactions,hyperglycemia,10020635.0
TEFLARO,adverse reactions,hyperkalemia,10020646.0
TEFLARO,adverse reactions,dizziness,10013573.0
TEFLARO,adverse reactions,convulsion,10010904.0
TEFLARO,adverse reactions,renal failure,10038435.0
TEFLARO,adverse reactions,urticaria,10046735.0
TEFLARO,adverse reactions,agranulocytosis.,
TEFLARO,warnings and precautions,serious hypersensitivity (anaphylactic) reactions,
TEFLARO,warnings and precautions,clostridium difficile -associated diarrhea (cdad),
TEFLARO,warnings and precautions,direct coombs' test seroconversion,
TEFLARO,warnings and precautions,anemia,10002034.0
TEFLARO,warnings and precautions,drug-induced hemolytic anemia,
TEFLARO,warnings and precautions,serious skin reactions,
TEFLARO,warnings and precautions,fatal colitis,
TEFLARO,warnings and precautions,morbidity,
TEFLARO,warnings and precautions,mortality,
TEFLARO,warnings and precautions,development of drug-resistant bacteria,
DATSCAN,adverse reactions,hypersensitivity,10020751.0
DATSCAN,adverse reactions,injection site reactions,10022097.0
DATSCAN,adverse reactions,headache,10019211.0
DATSCAN,adverse reactions,nausea,10028813.0
DATSCAN,adverse reactions,vertigo,10047340.0
DATSCAN,adverse reactions,dry mouth,10013781.0
DATSCAN,adverse reactions,dizziness,10013573.0
DATSCAN,adverse reactions,rash,10037844.0
DATSCAN,adverse reactions,pruritis,10037086.0
DATSCAN,adverse reactions,injection site pain,10022086.0
DATSCAN,warnings and precautions,hypersensitivity reactions,
DATSCAN,warnings and precautions,skin erythema,10040842.0
DATSCAN,warnings and precautions,pruritis,10037086.0
DATSCAN,warnings and precautions,anaphylactic reaction,10002198.0
DATSCAN,warnings and precautions,thyroid accumulation,
DATSCAN,warnings and precautions,thyroid neoplasia,10043743.0
TIVICAY,adverse reactions,,
TIVICAY,warnings and precautions,hypersensitivity reactions,
TIVICAY,warnings and precautions,rash,10037844.0
TIVICAY,warnings and precautions,constitutional findings,
TIVICAY,warnings and precautions,organ dysfunction,
TIVICAY,warnings and precautions,liver injury,10067125.0
