drug_name,section_name,subsection_name,gpt4_output
XEOMIN,adverse reactions,6 ADVERSE REACTIONS,"hypersensitivity, dysphagia, breathing difficulties, spread of effects from toxin, neck pain, muscle weakness, injection site pain, musculoskeletal pain, eyelid ptosis, dry eye, dry mouth, diarrhea, headache, visual impairment, dyspnea, nasopharyngitis, respiratory tract infection"
XEOMIN,adverse reactions,6.1 Clinical Trials Experience,"adverse reaction, Common adverse events, dysphagia, neck pain, muscle weakness, injection site pain, musculoskeletal pain"
XEOMIN,adverse reactions,"Table 2: Most Common TEAEs (>=5%) and Greater than Placebo: Double-Blind Phase of Clinical Trial Double-Blind Phase System Organ ClassPreferred Term XEOMIN 120 Units(N=77) XEOMIN 240 Units(N=82) Placebo(N=74) Any TEAEs 57% 55% 42% Musculoskeletal and connective tissue disorders 23% 32% 11% Neck pain 7% 15% 4% Muscular weakness 7% 11% 1% Musculoskeletal pain 7% 4% 1% Gastrointestinal disorders 18% 24% 4% Dysphagia 13% 18% 3% Nervous system disorders 16% 17% 7% General disorders and administration site conditions 16% 11% 11% Injection site pain 9% 4% 7% Infections and infestations 14% 13% 11% Respiratory, thoracic and mediastinal disorders 13% 10% 3% Blepharospasm","eyelid ptosis, dry eye, dry mouth, diarrhea, headache, visual impairment, dyspnea, nasopharyngitis, respiratory tract infection"
XEOMIN,adverse reactions,"Table 3: Most Common TEAEs (>=5%) and Greater than Placebo: Double-Blind Phase of Clinical Trial Double-Blind Phase System Organ Class Preferred Term XEOMIN(N=74) Placebo(N=34) Subjects with TEAEs 70% 62% Eye disorders 38% 21% Eyelid ptosis 19% 9% Dry eye 16% 12% Visual impairment 12% 6% Gastrointestinal disorders 30% 15% Dry mouth 16% 3% Diarrhoea 8% - Infections and infestations 20% 15% Nasopharyngitis 5% 3% Respiratory tract infection 5% 3% Nervous system disorders 14% 9% Headache 7% 3% General disorders and administration site conditions 11% 9% Respiratory, thoracic and mediastinal disorders 11% 3% Dyspnoea 5% 3% Glabellar Lines","headache, facial paresis, injection site hematoma, eyelid edema"
XEOMIN,adverse reactions,"Table 4: Adverse Reactions in Placebo-Controlled Trials Adverse reactions XEOMIN(N=535) (%) Placebo(N=268) (%) Nervous system disorders 33 (6.1) 6 (2.2) Headache 1 29 (5.4) 6 (2.2) Facial paresis (brow ptosis) 4 (0.7) 0 General disorders and administration site conditions 5 (0.9) 2 (0.7) Injection site hematoma 3 (0.6) 0 Injection site pain 1 (0.2) 0 Facial pain 1 (0.2) 0 Injection site swelling 0 1 (0.4) Sensation of pressure 0 1 (0.4) Eye disorders 5 (0.9) 0 Eyelid edema 2 (0.4) 0 Blepharospasm 1 (0.2) 0 Eye disorder 1(0.2) 0 Eyelid ptosis 1(0.2) 0 In open label, multiple dose trials, adverse reactions were reported for 105 of the 800 subjects (13.1%). Headache was the most common adverse reaction, reported for 57 subjects (7.1%), followed by injection site hematoma in 8 subjects (1.0%). Adverse reactions reported in less than 1% of subjects were: facial paresis (brow ptosis), muscle disorder (elevation of eyebrow), injection site pain, and eyelid edema.","If the input text on which to find the adverse drug event terms is ""nan"", it appears there might have been an error as ""nan"" typically signifies ""not a number"" or that the data is missing. Without an actual drug label excerpt, I cannot identify any adverse drug event terms. Please provide the correct text for analysis."
XEOMIN,adverse reactions,6.2 Immunogenicity,"immunogenicity, antibody formation, antibody positivity"
XEOMIN,adverse reactions,6.3 Postmarketing Experience,"eye swelling, eyelid edema, dysphagia, nausea, flu-like symptoms, injection site pain, injection site reaction, allergic dermatitis, swelling, edema, erythema, pruritus, rash, herpes zoster, muscular weakness, muscle spasm, dysarthria, myalgia, hypersensitivity"
XEOMIN,boxed warnings,BOXED WARNING: WARNING: DISTANT SPREAD OF TOXIN EFFECT,"If the input text is ""nan"", this implies that there is no text provided from which I can extract adverse drug event terms. Therefore, I cannot provide a list of terms without the actual content. If you have an excerpt from a drug label you want to analyze, please provide the text, and I can help identify the adverse drug event terms."
XEOMIN,boxed warnings,WARNING: DISTANT SPREAD OF TOXIN EFFECT,"asthenia, generalized muscle weakness, diplopia, blurred vision, ptosis, dysphagia, dysphonia, dysarthria, urinary incontinence, breathing difficulties, swallowing difficulties"
XEOMIN,boxed warnings,EXCERPT: WARNING: DISTANT SPREAD OF TOXIN EFFECT,"swallowing difficulties, breathing difficulties, death"
