section_id,reaction_string,drug_name,meddra_pt,meddra_pt_id,meddra_llt,meddra_llt_id,section_name,section,str,discontinuous_term,negated_term,meddra_exact_term
S1,hypersensitivity,XEOMIN,Hypersensitivity,10020751.0,,,adverse reactions,S1,hypersensitivity,0.0,0.0,1
S1,dysphagia,XEOMIN,Dysphagia,10013950.0,,,adverse reactions,S1,dysphagia,0.0,0.0,1
S1,breathing difficulties,XEOMIN,Dyspnoea,10013968.0,Difficulty breathing,10012791.0,adverse reactions,S1,breathing difficulties,0.0,0.0,0
S1,spread of effects from toxin,XEOMIN,,,,,adverse reactions,S1,spread of effects from toxin,0.0,0.0,0
S1,dysphagia,XEOMIN,Dysphagia,10013950.0,,,adverse reactions,S1,dysphagia,0.0,0.0,1
S1,neck pain,XEOMIN,Neck pain,10028836.0,,,adverse reactions,S1,neck pain,0.0,0.0,1
S1,muscle weakness,XEOMIN,Muscular weakness,10028372.0,Muscle weakness,10028350.0,adverse reactions,S1,muscle weakness,0.0,0.0,1
S1,injection site pain,XEOMIN,Injection site pain,10022086.0,,,adverse reactions,S1,injection site pain,0.0,0.0,1
S1,musculoskeletal pain,XEOMIN,Musculoskeletal pain,10028391.0,,,adverse reactions,S1,musculoskeletal pain,0.0,0.0,1
S1,eyelid ptosis,XEOMIN,Eyelid ptosis,10015995.0,,,adverse reactions,S1,eyelid ptosis,0.0,0.0,1
S1,dry eye,XEOMIN,Dry eye,10013774.0,,,adverse reactions,S1,dry eye,0.0,0.0,1
S1,dry mouth,XEOMIN,Dry mouth,10013781.0,,,adverse reactions,S1,dry mouth,0.0,0.0,1
S1,diarrhea,XEOMIN,Diarrhoea,10012735.0,Diarrhea,10012727.0,adverse reactions,S1,diarrhea,0.0,0.0,1
S1,headache,XEOMIN,Headache,10019211.0,,,adverse reactions,S1,headache,0.0,0.0,1
S1,visual impairment,XEOMIN,Visual impairment,10047571.0,,,adverse reactions,S1,visual impairment,0.0,0.0,1
S1,dyspnea,XEOMIN,Dyspnoea,10013968.0,Dyspnea,10013963.0,adverse reactions,S1,dyspnea,0.0,1.0,1
S1,nasopharyngitis,XEOMIN,Nasopharyngitis,10028810.0,,,adverse reactions,S1,nasopharyngitis,0.0,0.0,1
S1,respiratory tract infection,XEOMIN,Respiratory tract infection,10062352.0,,,adverse reactions,S1,respiratory tract infection,0.0,0.0,1
S1,headache,XEOMIN,Headache,10019211.0,,,adverse reactions,S1,headache,0.0,0.0,1
S1,dysphagia,XEOMIN,Dysphagia,10013950.0,,,adverse reactions,S1,dysphagia,0.0,0.0,1
S1,neck pain,XEOMIN,Neck pain,10028836.0,,,adverse reactions,S1,neck pain,0.0,0.0,1
S1,muscle weakness,XEOMIN,Muscular weakness,10028372.0,Muscle weakness,10028350.0,adverse reactions,S1,muscle weakness,0.0,0.0,1
S1,injection site pain,XEOMIN,Injection site pain,10022086.0,,,adverse reactions,S1,injection site pain,0.0,0.0,1
S1,musculoskeletal pain,XEOMIN,Musculoskeletal pain,10028391.0,,,adverse reactions,S1,musculoskeletal pain,0.0,0.0,1
S1,neck pain,XEOMIN,Neck pain,10028836.0,,,adverse reactions,S1,neck pain,0.0,0.0,1
S1,muscular weakness,XEOMIN,Muscular weakness,10028372.0,,,adverse reactions,S1,muscular weakness,0.0,0.0,1
S1,musculoskeletal pain,XEOMIN,Musculoskeletal pain,10028391.0,,,adverse reactions,S1,musculoskeletal pain,0.0,0.0,1
S1,dysphagia,XEOMIN,Dysphagia,10013950.0,,,adverse reactions,S1,dysphagia,0.0,0.0,1
S1,injection site pain,XEOMIN,Injection site pain,10022086.0,,,adverse reactions,S1,injection site pain,0.0,0.0,1
S1,blepharospasm,XEOMIN,Blepharospasm,10005159.0,,,adverse reactions,S1,blepharospasm,0.0,0.0,1
S1,eyelid ptosis,XEOMIN,Eyelid ptosis,10015995.0,,,adverse reactions,S1,eyelid ptosis,0.0,0.0,1
S1,dry eye,XEOMIN,Dry eye,10013774.0,,,adverse reactions,S1,dry eye,0.0,0.0,1
S1,dry mouth,XEOMIN,Dry mouth,10013781.0,,,adverse reactions,S1,dry mouth,0.0,0.0,1
S1,diarrhea,XEOMIN,Diarrhoea,10012735.0,Diarrhea,10012727.0,adverse reactions,S1,diarrhea,0.0,0.0,1
S1,headache,XEOMIN,Headache,10019211.0,,,adverse reactions,S1,headache,0.0,0.0,1
S1,visual impairment,XEOMIN,Visual impairment,10047571.0,,,adverse reactions,S1,visual impairment,0.0,0.0,1
S1,dyspnea,XEOMIN,Dyspnoea,10013968.0,Dyspnea,10013963.0,adverse reactions,S1,dyspnea,0.0,1.0,1
S1,nasopharyngitis,XEOMIN,Nasopharyngitis,10028810.0,,,adverse reactions,S1,nasopharyngitis,0.0,0.0,1
S1,respiratory tract infection,XEOMIN,Respiratory tract infection,10062352.0,,,adverse reactions,S1,respiratory tract infection,0.0,0.0,1
S1,dyspnea,XEOMIN,Dyspnoea,10013968.0,Dyspnea,10013963.0,adverse reactions,S1,dyspnea,0.0,1.0,1
S1,eyelid ptosis,XEOMIN,Eyelid ptosis,10015995.0,,,adverse reactions,S1,eyelid ptosis,0.0,0.0,1
S1,dry eye,XEOMIN,Dry eye,10013774.0,,,adverse reactions,S1,dry eye,0.0,0.0,1
S1,visual impairment,XEOMIN,Visual impairment,10047571.0,,,adverse reactions,S1,visual impairment,0.0,0.0,1
S1,dry mouth,XEOMIN,Dry mouth,10013781.0,,,adverse reactions,S1,dry mouth,0.0,0.0,1
S1,diarrhoea,XEOMIN,Diarrhoea,10012735.0,,,adverse reactions,S1,diarrhoea,0.0,0.0,1
S1,nasopharyngitis,XEOMIN,Nasopharyngitis,10028810.0,,,adverse reactions,S1,nasopharyngitis,0.0,0.0,1
S1,respiratory tract infection,XEOMIN,Respiratory tract infection,10062352.0,,,adverse reactions,S1,respiratory tract infection,0.0,0.0,1
S1,headache,XEOMIN,Headache,10019211.0,,,adverse reactions,S1,headache,0.0,0.0,1
S1,dyspnoea,XEOMIN,Dyspnoea,10013968.0,,,adverse reactions,S1,dyspnoea,0.0,0.0,1
S1,headache,XEOMIN,Headache,10019211.0,,,adverse reactions,S1,headache,0.0,0.0,1
S1,facial paresis,XEOMIN,Facial paresis,10051267.0,,,adverse reactions,S1,facial paresis,0.0,0.0,1
S1,injection site hematoma,XEOMIN,Injection site haematoma,10022066.0,Injection site hematoma,10055371.0,adverse reactions,S1,injection site hematoma,0.0,0.0,1
S1,eyelid edema,XEOMIN,Eyelid oedema,10015993.0,Eyelid edema,10015985.0,adverse reactions,S1,eyelid edema,0.0,0.0,1
S1,headache,XEOMIN,Headache,10019211.0,,,adverse reactions,S1,headache,0.0,0.0,1
S1,facial paresis,XEOMIN,Facial paresis,10051267.0,,,adverse reactions,S1,facial paresis,0.0,0.0,1
S1,brow ptosis,XEOMIN,Brow ptosis,10059001.0,,,adverse reactions,S1,brow ptosis,0.0,0.0,1
S1,injection site hematoma,XEOMIN,Injection site haematoma,10022066.0,Injection site hematoma,10055371.0,adverse reactions,S1,injection site hematoma,0.0,0.0,1
S1,injection site pain,XEOMIN,Injection site pain,10022086.0,,,adverse reactions,S1,injection site pain,0.0,0.0,1
S1,facial pain,XEOMIN,Facial pain,10016059.0,,,adverse reactions,S1,facial pain,0.0,0.0,1
S1,injection site swelling,XEOMIN,Injection site swelling,10053425.0,,,adverse reactions,S1,injection site swelling,0.0,0.0,1
S1,sensation of pressure,XEOMIN,Discomfort,10013082.0,Sensation of pressure,10040003.0,adverse reactions,S1,sensation of pressure,0.0,0.0,1
S1,eyelid edema,XEOMIN,Eyelid oedema,10015993.0,Eyelid edema,10015985.0,adverse reactions,S1,eyelid edema,0.0,0.0,1
S1,blepharospasm,XEOMIN,Blepharospasm,10005159.0,,,adverse reactions,S1,blepharospasm,0.0,0.0,1
S1,eye disorder,XEOMIN,Eye disorder,10015916.0,,,adverse reactions,S1,eye disorder,0.0,0.0,1
S1,eyelid ptosis,XEOMIN,Eyelid ptosis,10015995.0,,,adverse reactions,S1,eyelid ptosis,0.0,0.0,1
S1,headache,XEOMIN,Headache,10019211.0,,,adverse reactions,S1,headache,0.0,0.0,1
S1,injection site hematoma,XEOMIN,Injection site haematoma,10022066.0,Injection site hematoma,10055371.0,adverse reactions,S1,injection site hematoma,0.0,0.0,1
S1,facial paresis,XEOMIN,Facial paresis,10051267.0,,,adverse reactions,S1,facial paresis,0.0,0.0,1
S1,brow ptosis,XEOMIN,Brow ptosis,10059001.0,,,adverse reactions,S1,brow ptosis,0.0,0.0,1
S1,muscle disorder,XEOMIN,Muscle disorder,10028300.0,,,adverse reactions,S1,muscle disorder,0.0,0.0,1
S1,elevation of eyebrow,XEOMIN,,,,,adverse reactions,S1,elevation of eyebrow,0.0,0.0,0
S1,injection site pain,XEOMIN,Injection site pain,10022086.0,,,adverse reactions,S1,injection site pain,0.0,0.0,1
S1,eyelid edema,XEOMIN,Eyelid oedema,10015993.0,Eyelid edema,10015985.0,adverse reactions,S1,eyelid edema,0.0,0.0,1
S1,eye swelling,XEOMIN,Eye swelling,10015967.0,,,adverse reactions,S1,eye swelling,0.0,0.0,1
S1,eyelid edema,XEOMIN,Eyelid oedema,10015993.0,Eyelid edema,10015985.0,adverse reactions,S1,eyelid edema,0.0,0.0,1
S1,dysphagia,XEOMIN,Dysphagia,10013950.0,,,adverse reactions,S1,dysphagia,0.0,0.0,1
S1,nausea,XEOMIN,Nausea,10028813.0,,,adverse reactions,S1,nausea,0.0,0.0,1
S1,flu-like symptoms,XEOMIN,Influenza like illness,10022004.0,Flu-like symptoms,10016797.0,adverse reactions,S1,flu-like symptoms,0.0,0.0,1
S1,injection site pain,XEOMIN,Injection site pain,10022086.0,,,adverse reactions,S1,injection site pain,0.0,0.0,1
S1,injection site reaction,XEOMIN,Injection site reaction,10022095.0,,,adverse reactions,S1,injection site reaction,0.0,0.0,1
S1,allergic dermatitis,XEOMIN,Dermatitis allergic,10012434.0,Allergic dermatitis,10001711.0,adverse reactions,S1,allergic dermatitis,0.0,0.0,1
S1,localized allergic reactions,XEOMIN,Hypersensitivity,10020751.0,Allergic reaction,10001718.0,adverse reactions,S1,localized allergic reactions,0.0,0.0,0
S1,localized swelling,XEOMIN,Localised oedema,10048961.0,Localized edema,10062466.0,adverse reactions,S1,localized swelling,1.0,0.0,0
S1,localized edema,XEOMIN,Localised oedema,10048961.0,Localized edema,10062466.0,adverse reactions,S1,localized edema,1.0,0.0,1
